Molecule,Canonical_Smiles,category
CHEMBL2028988,CC[C@H](C)[C@H](NC(=O)[C@@H](NC(O)[C@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]3CCCN3C(=O)[C@H](Cc4c[nH]cn4)NC(=O)OC(C)(C)C)C(C)C)C(=O)N[C@@H](Cc5c[nH]cn5)C(=O)O,Asp
CHEMBL51401,CCCC[C@H](O[C@@H](Cc1ccccc1)C(=O)N2CCC(CC2)OCOC)C(=O)N[C@@H](CC3CCCCC3)[C@@H](O)C[C@@H](C(C)C)C(=O)NCCN4CCOCC4,Asp
CHEMBL284570,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CCN2C(=O)CS(=O)(=O)c3ccncc23)C(=O)N[C@@H](CC4CCCCC4)[C@@H](O)CC(=O)NCCCn5ccnc5,Asp
CHEMBL281508,CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc2cscn2)NC(=O)[C@H](Cc3ccccc3)CS(=O)(=O)N4CCOCC4,Asp
CHEMBL49172,CCCC[C@H](N[C@@H](Cc1ccccc1)C(=O)N2CCC(CC2)OCOC)C(=O)N[C@@H](CC3CCCCC3)[C@@H](O)C[C@@H](C(C)C)C(=O)NCCCn4ccnc4,Asp
CHEMBL49150,CCCC[C@H](O[C@@H](Cc1ccccc1)C(=O)N2CCC(CC2)OCOC)C(=O)N[C@@H](CC3CCCCC3)[C@@H](O)C[C@@H](C(C)C)C(=O)NCCc4ccccn4,Asp
CHEMBL48537,CCCC[C@H](N[C@@H](Cc1ccccc1)C(=O)N2CCC(CC2)OCOC)C(=O)N[C@@H](CC3CCCCC3)[C@@H](O)[C@@H](O)CC(C)C,Asp
CHEMBL1270630,CN1C(=N[C@](C1=O)(c2ccc(OC(F)F)c(C)c2)c3cccc(c3)C#CC4CC4)N,Asp
CHEMBL1270936,CC#Cc1cc(ccc1F)[C@]2(N=C(N)N(C)C2=O)c3ccc(OC(F)F)cc3,Asp
CHEMBL1221811,CC(C)[C@H](CC(=O)NCCc1cncc2ccccc12)C(=O)N[C@@H](CC(=O)O)C=O,Cys
CHEMBL346102,CCCC[C@H](NC(=O)OC(C(C)C)C(C)C)C(=O)C(=O)Nc1ccnn1C2CCCCC2,Cys
CHEMBL52060,CCCC[C@H](N[C@@H](Cc1ccccc1)C(=O)N2CCC(CC2)OCOC)C(=O)N[C@@H](CC3CCCCC3)[C@@H](O)C[C@@H](C(C)C)C(=O)NCCCN4CCOCC4,Asp
CHEMBL31019,CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cn2ccnc2)NC(=O)[C@@H]3[C@H]([C@H]3S(=O)(=O)C(C)C)c4ccccc4,Asp
CHEMBL319832,CCCC[C@H](N[C@@H](Cc1ccccc1)C(=O)N2CCC(CC2)OCOC)C(=O)N[C@@H](CC3CCCCC3)[C@@H](O)C[C@@H](C(C)C)C(=O)NCC(C)(C)N,Asp
CHEMBL321356,CCCC[C@H](N[C@@H](Cc1ccccc1)C(=O)N2CCC(CC2)OCOC)C(=O)N[C@@H](CC3CCCCC3)[C@@H](O)C[C@@H](C(C)C)C(=O)NCc4ccccc4,Asp
CHEMBL556343,Cl.COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C)C(=O)NCCS(=O)(=O)N(C)C)C(C)C)ccc1OC,Asp
CHEMBL536296,Cl.CCOC(=O)CCNC(=O)[C@H](C)C[C@H](O)[C@@H](N)C[C@H](Cc1ccc(OC)c(OCCCOC)c1)C(C)C,Asp
CHEMBL541135,Cl.COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C)C(=O)NCCCC(=O)O)C(C)C)ccc1OC,Asp
CHEMBL535632,Cl.COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C)C(=O)NCCCC(=O)OC)C(C)C)ccc1OC,Asp
CHEMBL556976,Cl.COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C)C(=O)NCCN2CCS(=O)(=O)CC2)C(C)C)ccc1OC,Asp
CHEMBL536982,Cl.COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C)C(=O)NCCN2CCSCC2)C(C)C)ccc1OC,Asp
CHEMBL534729,Cl.COCCCNC(=O)[C@H](C)C[C@H](O)[C@@H](N)C[C@H](Cc1ccc(OC)c(OCCCOC)c1)C(C)C,Asp
CHEMBL115963,O=C[C@H](Cc1ccccc1)NC(=O)C2=NS(=O)(=O)c3cc4OCCOc4cc3N2,Cys
CHEMBL356155,O=C(N[C@@H](COCc1ccccc1)C#N)[C@H](CC2CCCCC2)NC(=O)c3ccncc3,Cys
CHEMBL90224,CC(C)C[C@H](NC(=O)CNc1cccc2ccccc12)C(=O)N[C@@H](CC(=O)O)C=O,Cys
CHEMBL395045,O=C(C[C@@H](CC1CCCC1)C(=O)N[C@@]2(CCN(C2)C3CCCCC3)C#N)N4CCOCC4,Cys
CHEMBL52929,CCCCNC(=O)[C@@H](CC(O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc2c[nH]cn2)NC(=O)[C@@H](CSC(C)(C)C)Cc3ccccc3)C(C)C,Asp
CHEMBL38954,CCN1C[C@H](OC1=O)[C@H](O)[C@H](CC2CCCCC2)NC(=O)[C@H](Cc3c[nH]cn3)NC(=O)[C@H](Cc4ccccc4)NC(=O)OC(C)(C)C,Asp
CHEMBL265486,CCCc1nc(cn2c(nnc12)C(Cc3cccnc3)C(=O)NC(CC4CCCCC4)C(O)CC(C(C)C)C(=O)NCCCCO)c5cccnc5,Asp
CHEMBL38955,CON1C[C@H](OC1=O)[C@H](O)[C@H](CC2CCCCC2)NC(=O)[C@H](Cc3c[nH]cn3)NC(=O)[C@H](Cc4ccccc4)NC(=O)OC(C)(C)C,Asp
CHEMBL285779,C(COCc1ccccc1)COc2ccc(cc2)[C@H]3CCNC[C@@H]3OCc4ccc5ccc(OCCN6CCOCC6)cc5c4,Asp
CHEMBL100588,CC(C)C[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)OCc1ccccc1)C(=O)N[C@H]2CC(=O)OC2O,Cys
CHEMBL289144,CC(C)ON1C[C@H](OC1=O)[C@H](O)[C@H](CC2CCCCC2)NC(=O)[C@H](Cc3c[nH]cn3)NC(=O)[C@H](Cc4ccccc4)NC(=O)OC(C)(C)C,Asp
CHEMBL336539,Cc1cccc(C[C@H](Nc2ccc3COC(=O)c3c2)C(=O)N[C@@H](COCc4cccc(c4)C(=O)O)C#N)c1,Cys
CHEMBL325241,CSCC(NC(=O)[C@H](Cc1ccccc1)OC(=O)N2CCC(N)CC2)C(=O)N[C@@H](CC3CCCCC3)[C@@H](O)CCSc4ccccn4,Asp
CHEMBL115336,CC(C)[C@H](NC(=O)c1ccccc1)C(=O)N(CC(=O)NC(CC(=O)O)C(=O)c2oc3ccccc3n2)C4Cc5ccccc5C4,Cys
CHEMBL468088,COC[C@@H]1CCCN1S(=O)(=O)c2ccc3N(CCC=C)C(=O)C(=O)c3c2,Cys
CHEMBL413085,CC(C)C[C@H](NC(=O)C[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H]3CCCN3C(=O)[C@H](Cc4c[nH]cn4)NC(=O)C)C(C)C)C(=O)N[C@@H](Cc5ccccc5)C(=O)N,Asp
CHEMBL154862,CCCC[C@H](NC(=O)OC(C(C)C)C(C)C)C(=O)C(=O)Nc1cc[nH]n1,Cys
CHEMBL481814,CC(C)(F)C[C@H](N[C@@H](c1ccc(cc1)c2ccc(cc2)S(=O)(=O)C)C(F)(F)F)C(=O)NC3CNCC3=O,Cys
CHEMBL481744,CC(C)(F)C[C@H](N[C@@H](c1ccc(cc1)c2ccc(cc2)S(=O)(=O)C)C(F)(F)F)C(=O)NC3CN(CC3=O)C(=O)N,Cys
CHEMBL1824139,CC(C)CCn1cc(cn1)C2(N=C(N)N(C)C2=O)c3cccc(c3)c4cncnc4,Asp
CHEMBL150298,CC(C)C[C@H](NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)[C@@H](O)CSC(C)C,Asp
CHEMBL282602,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@H]2[C@@H](NC2=O)Oc3ccccc3)OCc4ccccc4,Cys
CHEMBL146651,CCCCNC(=O)[C@H](C)C[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](CCCC)OP(=O)(CCCc2ccccc2)OC(=O)c3ccccc3,Asp
CHEMBL396338,C[C@H]1C[C@@H]1CNc2cc(cc(n2)N(C)S(=O)(=O)C)C(=O)N[C@H](CO)Cc3cc(F)cc(F)c3,Asp
CHEMBL248228,COC[C@H](N)[C@H](Cc1ccccc1)NC(=O)c2cc(nc(c2)N(C)S(=O)(=O)C)N(C)C[C@H]3C[C@@H]3C,Asp
CHEMBL248223,CCCC[C@H](N)[C@H](Cc1ccccc1)NC(=O)c2cc(nc(c2)N(C)S(=O)(=O)C)N(C)C[C@H]3C[C@@H]3C,Asp
CHEMBL1807647,C[C@@H]1CC[C@H](NC(=O)[C@H](CC2CCCCC2)NC(=O)c3occc3)C(=O)CN1S(=O)(=O)c4ccccn4,Cys
CHEMBL236072,CS(=O)(=O)N1CCc2c(C1)c(nn2CC(O)CN3CCC(CC3)c4c[nH]c5cnccc45)c6ccc(cc6)C(F)(F)F,Cys
CHEMBL519459,CC(=O)N1CCC(CC1)c2ccc(OCc3cc4cnc(nc4n3CCC5CCCCC5)C#N)cc2,Cys
