Molecule,Canonical_Smiles,category
CHEMBL1957793,CCOC(=O)NCCc1ccccc1c2ccc([C@H]3CNCC[C@@H]3C4=CC(=O)N(C)C=C4)c(Cl)c2,Asp
CHEMBL1208906,CCOc1ccc(cc1C(F)(F)F)c2cc3c(ncn3CCCN4CCOCC4)c(n2)C#N,Cys
CHEMBL1209531,CCOc1ccc(cc1C(F)(F)F)c2nc(C#N)c3nc[nH]c3n2,Cys
CHEMBL1923123,Fc1cc2CO[C@@]3(CCNC[C@@H]3C(=O)N(Cc4nccc5ccccc45)C6CC6)c2cc1F,Asp
CHEMBL31272,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@H]2[C@H](NC2=O)Sc3ccccc3)OCc4ccccc4,Cys
CHEMBL59973,CSC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)N2CCOCC2)C(=O)N[C@@H](CC3CCCCC3)[C@@H](O)P4(=O)OCCCO4,Asp
CHEMBL400972,FC(F)(F)[C@@H](N[C@@H](CS(=O)(=O)c1nccs1)C(=O)NC2(CC2)C#N)c3ccccc3,Cys
CHEMBL251719,FC(F)(F)[C@@H](N[C@@H](CS(=O)(=O)c1cccc(Br)c1)C(=O)NC2(CC2)C#N)c3ccccc3,Cys
CHEMBL1910545,Cc1ccc(Cn2cc(CN(C3CC3)C(=O)[C@H]4CNCC[C@]4(O)c5ccc(F)c(F)c5)c6c(F)cccc26)cn1,Asp
CHEMBL392245,CCC(N1C=C(N=C(NCCc2cccs2)C1=O)C(C)(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)CCCc3ccccc3,Cys
CHEMBL399362,C[C@@]1(N)Cc2cccc(CC[C@@H](NC(=O)c3cc(COC1=O)cc(c3)c4cccc(F)c4C#N)c5ccc(F)cc5)c2,Asp
CHEMBL401181,C[C@@]1(N)Cc2cccc(CC[C@@H](NC(=O)c3cc(COC1=O)cc(c3)c4ccccc4C#N)c5ccc(F)cc5)c2F,Asp
CHEMBL400530,CCCN(c1cc2COC(=O)[C@](C)(N)Cc3cccc(CC[C@@H](NC(=O)c(c2)c1)c4ccccc4)c3)S(=O)(=O)C,Asp
CHEMBL249885,CSC[C@H](NC(=O)[C@H](CC(C)C)N[C@@H](c1ccc(cc1)c2ccc(cc2)S(=O)(=O)C)C(F)(F)F)C(=O)N,Cys
CHEMBL247416,CC1CC1CNc2cc(cc(n2)N(C)S(=O)(=O)C)C(=O)N[C@@H](Cc3ccccc3)[C@@H](N)CCC(F)(F)F,Asp
CHEMBL247415,CCCC[C@H](N)[C@H](Cc1ccccc1)NC(=O)c2cc(NCC3CC3C)nc(c2)N(C)S(=O)(=O)C,Asp
CHEMBL202754,COc1ccc(NCCNC(=O)[C@H](CC(C)C)Nc2cccc(c2)C3CCCCC3)cc1,Cys
CHEMBL591546,COCc1cc2NCCCCOc3cccc(C[C@H](NC(=O)c(c1)c2)[C@H](O)CNCc4cccc(c4)C(C)C)c3,Asp
CHEMBL202971,OC(=O)CCC(=O)Nc1ccc2C(=O)NC(=O)C(=O)c2c1,Cys
CHEMBL411178,COc1cccc(c1)C(=O)NCC2=CC[C@H](NC(=O)c3ccc4ccccc4c3)C(=O)N(CC(=O)N[C@H]5CC(=O)OC5O)C2,Cys
CHEMBL1271069,CCCc1cc(nc(n1)C#N)c2cc(cc(c2)C(F)(F)F)C(=O)N(C)C,Cys
CHEMBL1269673,CNCCc1ccc(Cl)c(CN(C2CC2)C(=O)[C@H]3CNCC[C@@H]3c4ccc(OCCOc5c(Cl)cc(C)cc5Cl)cc4)c1,Asp
CHEMBL1910315,O[C@@]1(CCNC[C@@H]1C(=O)N(Cc2cn(Cc3ccccc3)c4cccc(F)c24)C5CC5)c6ccc(F)c(F)c6,Asp
CHEMBL1910316,O[C@@]1(CCNC[C@@H]1C(=O)N(Cc2cn(Cc3ccccc3OC(F)F)c4cccc(F)c24)C5CC5)c6ccc(F)c(F)c6,Asp
CHEMBL1910317,O[C@@]1(CCNC[C@@H]1C(=O)N(Cc2cn(Cc3cccc(OC(F)F)c3)c4cccc(F)c24)C5CC5)c6ccc(F)c(F)c6,Asp
CHEMBL1910318,O[C@@]1(CCNC[C@@H]1C(=O)N(Cc2cn(Cc3ccc(OC(F)F)cc3)c4cccc(F)c24)C5CC5)c6ccc(F)c(F)c6,Asp
CHEMBL1910319,O[C@@]1(CCNC[C@@H]1C(=O)N(Cc2cn(Cc3cccc(F)c3)c4cccc(F)c24)C5CC5)c6ccc(F)c(F)c6,Asp
CHEMBL1269681,Cc1cc(Cl)c(OCCOc2ccc(cc2)[C@H]3CCNC[C@@H]3C(=O)N(Cc4cc(CNCC(F)F)ccc4Cl)C5CC5)c(Cl)c1,Asp
CHEMBL180646,CCCCCCN(C)CNCC(=O)[C@H](CC(=O)O)NC(=O)C(CC)N1C=C(N=C(NCc2nonc2C)C1=O)C(C)C,Cys
CHEMBL1957789,COCC(F)(F)COCc1ccc(cc1)[C@@]2(O)CCNC[C@@H]2c3ccc(cc3C)c4ccccc4CCNC(=O)C,Asp
CHEMBL443565,CC(C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)C)C(=O)N[C@@H](CC(=O)O)C(=O)CCCc1ccccc1,Cys
CHEMBL1269755,COCCCc1cc(CN(C2CC2)C(=O)[C@H]3CNCC[C@@H]3c4ccc(OCc5onc(c5)c6c(F)ccc(F)c6Cl)nc4)c(Cl)cn1,Asp
CHEMBL1257891,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC2(CCCCC2)c3cc(O)cc(c3)C(C)(C)C,Asp
CHEMBL364563,CCCC[C@H](NC(=O)OCC1(CSc2nccn2c3ccccc3)CCC1)C(=O)C(=O)N[C@H](C)c4ccccc4,Cys
CHEMBL361095,CS(=O)(=O)N1CCc2c(C1)c(nn2CCCN3CCC(CC3)n4c(O)nc5ccccc45)c6ccc(Cl)c(Cl)c6,Cys
CHEMBL1271184,Cc1c(F)cccc1Cc2c(C(=O)N3CCNCC3)c4ccccc4n2C5CCCCC5,Asp
CHEMBL1270181,COc1ccc2c(C(=O)N3CCNCC3)c(Cc4cccc(F)c4C)n(c5ccccc5)c2c1,Asp
CHEMBL1270278,Cc1c(F)cccc1Cc2c(C(=O)N3CCNCC3)c4cc(O)ccc4n2c5ccccc5,Asp
CHEMBL1270470,Cc1c(F)cccc1Cc2c(C(=O)N3CCNCC3)c4ccc(cc4n2c5ccccc5)S(=O)(=O)C,Asp
CHEMBL178819,CC(C)[C@H](OC(=O)Nc1ccccc1)C(=O)NC(CC(=O)O)C(=O)COc2cc(nn2c3ccccc3)C(F)(F)F,Cys
CHEMBL178300,CC(C)[C@H](OC(=O)Nc1ccc(F)c(F)c1)C(=O)NC(CC(=O)O)C(=O)CF,Cys
CHEMBL1257350,Cc1cc(Cl)c(OCCOc2ccc(CC(CN)c3ccc(cc3C)c4ccccc4Cl)cc2)c(Cl)c1,Asp
CHEMBL1256488,COCCCOc1ccccc1c2ccc(C(CN)Cc3ccc(OCCOc4c(Cl)cc(C)cc4Cl)cc3)c(C)c2,Asp
CHEMBL1210347,C[C@H](NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c2cccc(c2)N(c3ccc(Cl)cc3)S(=O)(=O)C)C(=O)NC4CCCCC4,Asp
CHEMBL181027,CCC(N1C=CN=C(NCc2nonc2C)C1=O)C(=O)N[C@@H](CC(=O)O)C(=O)CNCN(C)C,Cys
CHEMBL1258394,Cc1cc(Cl)c(OCCOc2ccc(CC(CN)c3ccc(cc3C)c4ccnc(N)c4)cc2)c(Cl)c1,Asp
CHEMBL1910546,Cc1cc(Cn2cc(CN(C3CC3)C(=O)[C@H]4CNCC[C@]4(O)c5ccc(F)c(F)c5)c6c(F)cccc26)ccn1,Asp
CHEMBL1957797,COC[C@H](C)COCc1ccc(cc1)[C@@]2(O)CCNC[C@@H]2c3ccc(cc3C)c4ccccc4CCNC(=O)C,Asp
CHEMBL245193,CCSC(NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)N[C@@H](CC2CCCCC2)[C@@H](O)[C@@H](O)CC(C)C,Asp
CHEMBL418519,CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)C(NC(=O)[C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)N(C)CC=C,Asp
CHEMBL326758,CN1C(Cc2ccccc2C1=O)C(=O)N[C@@H](Cc3ccccc3)C=O,Cys
CHEMBL341222,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc2ccc(O)cc2)C=O,Cys
CHEMBL294160,CC(C)CC(NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)C(O)CC(=O)N[C@@H](CC(C)C)C(=O)NCc3cccc(CN)c3,Asp
CHEMBL605408,COC(=O)NCCO[C@H]([C@@H]1CCCN(C1)C(=O)N[C@H](CN)CC2CCCCC2)c3cccc(Cl)c3,Asp
CHEMBL118817,O=C[C@H](Cc1ccccc1)NC(=O)C2=NS(=O)(=O)c3ccccc3N2,Cys
CHEMBL250919,FC(F)(F)[C@@H](N[C@@H](CS(=O)(=O)c1nc2ccccc2s1)C(=O)NC3(CC3)C#N)c4ccccc4,Cys
CHEMBL3891866,CO[C@@H]1CC[C@@]2(CC1)Cc3ccc(cc3[C@@]24N=C(N)N(CC5CCO5)C4=O)C#CC6CC6,Asp
CHEMBL257587,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CNC(=O)c1nn[nH]n1)C(C)C)C(=O)N[C@@H](Cc2ccccc2)[C@@H](O)C(=O)Nc3cc(Cl)cc(Cl)c3,Asp
CHEMBL567893,COC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc2ccccc2)N(C)C(=O)[C@H](C)NC(=O)[C@@H](NC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](OC(=O)[C@@H](OC(=O)[C@H](C(C)C)N(C)C)C(C)C)C(C)C)[C@@H](C)O,Asp
CHEMBL2177305,CCN1C=C(C=C(C)C1=O)[C@@]2(N=C(N)c3c(F)cccc23)c4cccc(NC(=O)c5ccc(Cl)cn5)c4,Asp
CHEMBL1923109,COCCCc1cc(CN(C2CC2)C(=O)[C@H]3CNCC[C@@]34OC=Cc5ccccc45)cc(OCCOC)c1,Asp
CHEMBL2181915,CC(C)(C)Cc1cnc2OC3(CCC3)C[C@H](NC[C@@H](O)[C@H](Cc4cccc(c4)c5nccs5)NC(=O)[C@H]6CCCO6)c2c1,Asp
CHEMBL1923120,Fc1cc2CO[C@@]3(CCNC[C@@H]3C(=O)N(Cc4cccc5ccccc45)C6CC6)c2cc1F,Asp
CHEMBL1923126,Fc1cc2C(=O)O[C@@]3(CCNC[C@@H]3C(=O)N(Cc4cccc(c4Cl)C(F)(F)F)C5CC5)c2cc1F,Asp
CHEMBL1923132,COCCCc1cc(CCC(=O)N2CCOCC2)c(Cl)c(CN(C3CC3)C(=O)[C@H]4CNCC[C@@]45OCc6cc(F)c(F)cc56)c1,Asp
CHEMBL1923114,Fc1cc2CO[C@@]3(CCNC[C@@H]3C(=O)N(Cc4ccc(Cl)cc4Cl)C5CC5)c2cc1F,Asp
CHEMBL491660,CCCN1CC(N(CC)C1=O)C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@@H]3NCCN(Cc4ccccc4)C3=O,Asp
CHEMBL451950,COC[C@H]1CCCN1C(=O)c2cc(C)cc(c2)C(=O)N[C@@H](Cc3cc(F)cc(F)c3)[C@H](O)[C@@H]4NCN(Cc5ccccc5)C4=O,Asp
CHEMBL1790106,CCCC[C@H](N1CCC(Cc2ccccc2)(NC(=O)OCc3ccccc3)C1=O)C(=O)N[C@@H](CC(C)C)[C@@H](O)C[C@@H](C(C)C)C(=O)N[C@@H]([C@H](C)CC)C(=O)NCc4ccccn4,Asp
CHEMBL2181010,COC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc2ccccc2)N(C)C(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)C[C@H](O)[C@H](Cc3ccccc3)NC(=O)c4cc(NS(=O)(=O)C)cc(c4)C(=O)N[C@H](C)c5ccccc5,Asp
CHEMBL59984,CCOP(=O)(OCC)C(O)[C@H](CC1CCCCC1)NC(=O)[C@H](CSC)NC(=O)[C@H](Cc2ccccc2)NC(=O)N3CCOCC3,Asp
CHEMBL2181018,CC(C)C[C@H](NC(=O)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(=O)N)N(C)C(=O)[C@@H](NC(=O)[C@H](C)O)C(C)C)C(=O)N[C@@H](C)C(=O)N(C)[C@H](Cc2ccccc2)C(=O)O,Asp
CHEMBL2158257,CC(C)Cn1cc2[C@H](CC(C)(C)Cc2n1)NC[C@@H](O)[C@H](Cc3ccccc3)NC(=O)C,Asp
CHEMBL2181829,CC(=O)N[C@@H](Cc1ccc2OCCOc2c1)[C@H](O)CN[C@H]3CC4(CCC4)Oc5ncc(CC(C)(C)C)cc35,Asp
CHEMBL2151148,CCc1ccc2OC3(CCC3)C[C@H](NC[C@@H](O)[C@H](Cc4ccccc4)NC(=O)C5=CN(C6CCCC6)C(=O)C(=C5)c7ccccn7)c2c1,Asp
CHEMBL2151235,CC(=O)N[C@@H](Cc1cccc(c1)C(F)(F)F)[C@H](O)CN[C@H]2CC3(CCC3)Oc4ncc(CC(C)(C)C)cc24,Asp
CHEMBL2151237,CC(=O)N[C@@H](Cc1ccc(F)c(F)c1)[C@H](O)CN[C@H]2CC3(CCC3)Oc4ncc(CC(C)(C)C)cc24,Asp
CHEMBL2151241,CC(=O)N[C@@H](Cc1ccc(F)c(c1)C#N)[C@H](O)CN[C@H]2CC3(CCC3)Oc4ncc(CC(C)(C)C)cc24,Asp
CHEMBL133728,CN1C(=O)c2ccc(N[C@@H](Cc3cccc(C)c3)C(=O)N[C@@H](COCc4cccc(c4)C(=O)O)C#N)cc2C1=O,Cys
CHEMBL334879,Cc1cccc(C[C@H](Nc2ccccc2)C(=O)N[C@@H](COCc3ccc(Cl)c(c3)C(=O)O)C#N)c1,Cys
CHEMBL1910292,COCCCc1cc(CN(C2CC2)C(=O)[C@H]3CNCC[C@]3(O)c4ccc(F)c(F)c4)cc(OCCOC)c1,Asp
CHEMBL1916158,CCC(C)[C@]1(CCN([C@@H](CCc2ccccc2)C(=O)N[C@@H](Cc3cc(F)cc(F)c3)[C@H](O)[C@H]4C[C@H](CN4)Oc5ccccn5)C1=O)NC(=O)C,Asp
CHEMBL510822,COc1ccccc1OCCOc2ccc(cc2)C3=C([C@H]4CN(C[C@@H](C3)N4)C(=O)C)C(=O)N(Cc5cccc(Cl)c5Cl)C6CC6,Asp
CHEMBL454732,CC(=O)N1C[C@H]2CC(=C([C@@H](C1)N2)C(=O)N(Cc3cccc(Cl)c3Cl)C4CC4)c5ccc(CCCOc6c(F)ccc(F)c6Cl)cc5,Asp
CHEMBL88526,CC[C@H](O)C[C@H](O)[C@H](CC1CCCCC1)NC(=O)C(NC(=O)[C@H](Cc2ccccc2)NS(=O)(=O)N3CCOCC3)SCC=C,Asp
CHEMBL1790993,CC[C@@H](C)[C@H](NS(=O)(=O)c1cccc2ccccc12)C(=O)N[C@H](Cc3c[nH]c4ccccc34)C=O,Cys
CHEMBL1290303,CS(=O)(=O)c1ccc(cc1)c2ccc(cc2)[C@H](N[C@@H](C3CC3)C(=O)N[C@@H](Cc4ccccc4)C#N)C(F)(F)F,Cys
CHEMBL1288524,CC(C)(F)C[C@H](N[C@@H](c1ccc(cc1)c2ccc(cc2)S(=O)(=O)C)C(F)(F)F)C(=O)N[C@H](Cc3ccc(cc3F)C#N)C#N,Cys
CHEMBL599272,CC(C)(F)C[C@H](N[C@@H](c1ccc(cc1)c2ccc(cc2)[C@H](O)C(F)F)C(F)(F)F)C(=O)NC3(CC3)C#N,Cys
CHEMBL597627,CC(C)(F)C[C@H](N[C@@H](c1ccc(cc1)c2ccc(cn2)C3(O)CC3)C(F)(F)F)C(=O)NC4(CC4)C#N,Cys
CHEMBL1835210,CC(C)[C@H](NC(=O)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H]2CC(=O)OC2O,Cys
CHEMBL1957794,COCC(=O)NCCc1ccccc1c2ccc([C@H]3CNCC[C@@H]3C4=CC(=O)N(C)C=C4)c(Cl)c2,Asp
CHEMBL1818066,COCCCC[C@](O)([C@H]1CN(CCO1)C(=O)[C@H]2C[C@@H](N)[C@@H](O)C2)c3cccc(F)c3c4cccc(C)c4,Asp
CHEMBL163286,CCCC[C@H](NC(=O)O[C@H](CCCc1ccccc1)C(C)(C)C)C(=O)C(=O)N[C@H](C)c2ccccc2,Cys
CHEMBL135471,CCC(C)[C@H](NS(=O)(=O)c1cccc2ccccc12)C(=O)NCC=O,Cys
CHEMBL1835211,CO[C@H]1CCN([C@@H]1C(=O)N[C@H]2CC(=O)OC2O)C(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](NC(=O)C)C(C)C)C(C)C,Cys
CHEMBL336591,CCC(C)[C@H](NS(=O)(=O)c1cccc2ccccc12)C(=O)N[C@@H](Cc3ccccc3)C=O,Cys
CHEMBL1269693,CNC(=O)OCc1ccc(Cl)c(CN(C2CC2)C(=O)[C@H]3CNCC[C@@H]3c4ccc(OCCOc5c(Cl)cc(C)cc5Cl)cc4)c1,Asp
CHEMBL3651541,FC(F)(F)CNC(=O)c1cnc(nc1N2CC[C@@H](C2)S(=O)(=O)c3cccc(Cl)c3Cl)C#N,Cys
CHEMBL1269671,COCCCc1ccc(Cl)c(CN(C2CC2)C(=O)[C@H]3CNCC[C@@H]3c4ccc(OCCOc5c(Cl)cc(C)cc5Cl)cc4)c1,Asp
CHEMBL3649411,CC[C@H](NC(=O)[C@@H]1C[C@H](CN1C(=O)C2(CC2)c3ccc(Cl)cc3)S(=O)(=O)c4ccccc4Cl)C(=O)C(=O)NCCc5cccc6ccccc56,Cys
CHEMBL1079000,CCCc1cc(nc(n1)C#N)c2cccc(c2)C(F)(F)F,Cys
CHEMBL3680863,C[C@@]1(N=C(N)OC[C@@H]1F)c2cc(NC(=O)c3ccc(cn3)C(F)F)ccc2F,Asp
CHEMBL3649406,CC[C@H](NC(=O)[C@@H]1C[C@H](CN1C(=O)C2(CC2)c3ccc(Cl)cc3)S(=O)(=O)c4ccc(O[C@@H](C)C(F)(F)F)cc4Cl)C(=O)C(=O)NC5CC5,Cys
CHEMBL480922,COC(=O)N1CC(NC(=O)[C@H](CC(C)(C)F)N[C@@H](c2ccc(cc2)c3ccc(cc3)S(=O)(=O)C)C(F)(F)F)C(=O)C1,Cys
CHEMBL150253,Clc1ccccc1COC[C@H](NC(=O)[C@H](CC2CCCCC2)NC(=O)N3CCOCC3)C#N,Cys
CHEMBL49379,CCCC[C@H](O[C@@H](Cc1ccccc1)C(=O)N2CCC(CC2)OCOC)C(=O)N[C@@H](CC3CCCCC3)[C@@H](O)C[C@@H](C(C)C)C(=O)NCCC[N+]4([O-])CCOCC4,Asp
CHEMBL3742051,CCc1ccc(cc1)c2ccc(cc2)S(=O)(=O)N3CCC[C@H]3C(=O)N[C@@H](CC(=O)N)C#N,Cys
CHEMBL295048,CCCC[C@H](O[C@@H](Cc1ccccc1)C(=O)N2CCC(CC2)OCOC)C(=O)N[C@@H](CC3CCCCC3)[C@@H](O)C[C@@H](C(C)C)C(=O)NCCCN(C)C,Asp
CHEMBL3649386,CC[C@H](NC(=O)[C@@H]1C[C@H](CN1C(=O)C2(CC2)c3ncc(Cl)cc3F)S(=O)(=O)c4ccccc4Cl)C(=O)C(=O)NC5CC5,Cys
CHEMBL3649403,CCC[C@H](NC(=O)[C@@H]1C[C@H](CN1C(=O)C2(CC2)c3ccc(Cl)cc3)S(=O)(=O)c4ccc(Cl)cc4Cl)C(=O)C(=O)NC5CC5,Cys
CHEMBL48481,CCCCC(=O)N[C@@H](C[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc2c[nH]cn2)NC(=O)[C@H](Cc3ccccc3)NC(=O)OC(C)(C)C)C(C)C,Asp
CHEMBL1276275,COc1ccccc1COCCCOc2ccc(cc2)[C@H]3CCNC[C@@H]3OCc4ccc5CCCN(CCNC(=O)C)c5c4,Asp
CHEMBL2386721,CC1(C)OC(=N[C@](C)(c2nc(NC(=O)c3ncc(cc3Cl)C#N)ccc2F)C1(F)F)N,Asp
CHEMBL2386719,C[C@@]1(N=C(N)OCC1(F)F)c2nc(NC(=O)c3ccc(cn3)C#N)ccc2F,Asp
CHEMBL3144417,CCOC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc2c[nH]cn2)C(=O)N[C@@H](CC3CCCCC3)[C@@H](O)CC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc4ccccc4)C(=O)N,Asp
CHEMBL155941,CCCC[C@H](NC(=O)OC(C(C)C)C(C)C)C(=O)C(=O)Nc1[nH]ncc1C(=O)OCC,Cys
CHEMBL291900,CC(C)CC(NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)C(O)CC(=O)N[C@@H](CC(C)C)C(=O)NCc3cccc(CN=C(N)N)c3,Asp
CHEMBL2048702,CCCCNC(=O)[C@@H](C[C@H](O)[C@@H](N)CN1CC(=O)N(CC1(C)C)c2ccccc2Cl)C(C)C.OC(=O)\C=C\C(=O)O,Asp
CHEMBL2386726,C[C@@]1(N=C(N)OCC1(F)F)c2nc(NC(=O)c3nn(cc3Cl)C(F)F)ccc2F,Asp
CHEMBL2387568,C[C@H](C[C@H](O)[C@@H](N)CN1CC(=O)N(CC1(C)C)c2ccccc2Cl)C(=O)N[C@@H]3C4CC5CC3C[C@@](O)(C5)C4.OC(=O)\C=C\C(=O)O,Asp
CHEMBL2387567,CC[C@H](C[C@H](O)[C@@H](N)CN1CC(=O)N(CC1(C)C)c2ccccc2Cl)C(=O)N[C@@H]3C4CC5CC3C[C@@](O)(C5)C4.OC(=O)\C=C\C(=O)O,Asp
CHEMBL2387551,CC(C)[C@H](C[C@H](O)[C@@H](N)CN1CC(=O)N(CC1(C)C)c2ccccc2Cl)C(=O)Nc3ccc(F)cc3.OC(=O)\C=C\C(=O)O,Asp
CHEMBL2387543,CC(C)[C@H](C[C@H](O)[C@@H](N)CN1CC(=O)N(CC1(C)C)c2cc(F)ccc2C)C(=O)NCC(C)(C)C(=O)O.OC(=O)CCC(=O)O,Asp
CHEMBL2387446,CC(C)[C@H](C[C@H](O)[C@@H](N)CN1CC(=O)N(CC1(C)C)c2ccccc2Cl)C(=O)NCC(C)(C)C.OC(=O)\C=C\C(=O)O,Asp
CHEMBL3670916,CC1(C)OCC(=N[C@](C)(c2cc(NC3CCc4cc(Cl)cnc34)ccc2F)C1(F)F)N,Asp
CHEMBL114330,CC(C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)C)C(=O)N[C@@H](C)C(=O)NC(CCC(=O)O)C=O,Cys
CHEMBL311244,CCCC(=O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc2ccccc2)NC(=O)C3CCCC3,Asp
CHEMBL1790995,CC[C@@H](C)[C@H](\N=C(/S)\NCc1ccccc1)C(=O)N[C@H](Cc2c[nH]c3ccccc23)C=O,Cys
CHEMBL249915,CS(=O)(=O)C[C@H](N[C@@H](c1ccc(F)cc1)C(F)(F)F)C(=O)NC2(CC2)C#N,Cys
CHEMBL1669280,Cc1noc(CN2CCC(CCOc3ccc(cc3C(F)(F)F)c4cc5c(ncn5C)c(n4)C#N)CC2)n1,Cys
CHEMBL567061,CCCCOc1cc(ccc1OC)C2(N=C(N)N(C)C2=O)c3cccc(c3)c4cccnc4,Asp
CHEMBL3741614,COc1cnc(cn1)c2cc(on2)c3ccc(F)c(c3)[C@]4(C)C[S@@]5(=O)=NCCCCN5C(=N4)N,Asp
CHEMBL1916006,CCC(C)[C@]1(CCN([C@@H](C)C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]3C[C@H](O)CN3)C1=O)NC(=O)C,Asp
CHEMBL590866,CNC[C@H](CC1CCCCC1)NC(=O)N2CCC[C@H](C2)[C@@H](OCCNC(=O)OC)c3ccc(F)c(F)c3,Asp
CHEMBL589647,CNC[C@H](CC1CCCCC1)NC(=O)N2CCC[C@H](C2)[C@@H](OCCNC(=O)OC)c3cc(F)cc(F)c3,Asp
CHEMBL126152,CC(C)CC(C(=O)NCC#N)c1cccc(c1)c2ccc(cc2)c3ccncc3,Cys
CHEMBL604248,CCC(=O)NCCC[C@](O)([C@@H]1CCCN(C1)C(=O)N[C@H](CNC)CC2CCCCC2)c3cccc(Cl)c3,Asp
CHEMBL48088,CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](C)O[C@@H](Cc2ccccc2)C(=O)N3CCOCC3,Asp
CHEMBL381715,CCCC[C@H](NC(=O)OC(C)(C)C)\C=N\NC(=O)N1CCc2ccccc12,Cys
CHEMBL1270727,CCCCc1cccc(c1)[C@]2(N=C(N)N(C)C2=O)c3ccc(OC(F)F)cc3,Asp
CHEMBL1270433,CN1C(=N[C@](C1=O)(c2ccc(OC(F)F)cc2)c3cccc(\C=C\CC(F)F)c3)N,Asp
CHEMBL1271036,CCCC#Cc1cccc(c1)[C@]2(N=C(N)N(C)C2=O)c3ccc(OC(F)F)cc3,Asp
CHEMBL1270334,COCC#Cc1cc(ccc1F)[C@]2(N=C(N)N(C)C2=O)c3ccc(OC(F)F)c(C)c3,Asp
CHEMBL1270335,CN1C(=N[C@](C1=O)(c2ccc(OC(F)F)cc2)c3ccc(F)c(c3)C#CC4CC4)N,Asp
CHEMBL1270431,CN1C(=N[C@@](C1=O)(c2ccccc2)c3ccc(OC(F)F)c(C)c3)N,Asp
CHEMBL261438,Cc1ccc(cc1)\C(=N/NC(=S)N)\c2cc(Cl)cc(Cl)c2,Cys
CHEMBL1085729,CCOC(=O)CNC(=O)C(=O)C(COCc1ccccc1)NC(=O)[C@H](CC2CCCCC2)NC(=O)\C=C\c3cc(OC)ccc3OC,Cys
CHEMBL1209377,CCCc1cc(nc(n1)C#N)c2ccc(F)c(c2)C(F)(F)F,Cys
CHEMBL1209448,CCCc1cc(nc(n1)C#N)c2ccc(C)c(c2)C(F)(F)F,Cys
CHEMBL1209452,CCCc1cc(nc(n1)C#N)c2ccc(OC(C)C)c(c2)C(F)(F)F,Cys
CHEMBL1209533,CCOc1ccc(cc1C(F)(F)F)c2nc(C#N)c3ncn(CCO)c3n2,Cys
CHEMBL1209310,CCCc1cc(nc(n1)C#N)c2cccc(c2)C(C)C,Cys
CHEMBL201045,Fc1ccc(SC[C@@H]2CCCC[C@H]2C(=O)NCC#N)cc1,Cys
CHEMBL3894384,CCO[C@@H]1CC[C@@]2(CC1)Cc3ccc(cc3C24ON(C)C(=N4)N)c5cccc(OC)c5,Asp
CHEMBL1257228,Cc1cc(Cl)c(OCCOc2ccc(CC(CN)c3ccc(cc3)c4ccccc4Cl)cc2)c(Cl)c1,Asp
CHEMBL1257460,Cc1cc(Cl)c(OCCOc2ccc(CC(CN)c3ccc(cc3Cl)c4ccccc4Cl)cc2)c(Cl)c1,Asp
CHEMBL1256491,Cc1cc(Cl)c(OCCOc2ccc(CC(CN)c3ccc(cc3C)c4ccccc4CCOC(=O)N)cc2)c(Cl)c1,Asp
