Molecule;Canonical Smiles;Standard Type;Standard Value;pChEMBL Value;Molecular Weight;ALogP
CHEMBL500437;CCc1c(nn(c1c2ccc(Br)cc2)c3ccc(Cl)cc3Cl)C4=NC(=O)C(C)(C)N4C;IC50;16.3;7.79;520.26;6.17
CHEMBL498747;CN1C(=NC(=O)C1(C)C)c2nn(c3ccc(Cl)cc3Cl)c(c2Br)c4ccc(Cl)cc4;IC50;42.5;7.37;526.65;6.26
CHEMBL460986;CCCC#Cc1ccc(s1)c2c(CC)c(nn2c3ccc(Cl)cc3Cl)C(=O)NN4CCCCC4;IC50;1.2;8.92;515.51;6.75
CHEMBL460132;CCCC#Cc1ccc(s1)c2c(C)c(nn2c3ccc(Cl)cc3Cl)C(=O)NN4CCCCCC4;IC50;1.2;8.92;515.51;6.89
CHEMBL524727;Cc1c(nn(c2ccc(Cl)cc2Cl)c1c3ccc(Cl)cc3)C4=NC(=O)C(C)(C)N4C5CC5;IC50;95.2;7.02;487.82;6.34
CHEMBL462069;CCCCNC(=O)c1nn(c2ccc(Cl)cc2Cl)c(c1C)c3ccc(C#CCCCC)s3;EC50;29.8;7.53;488.48;7.29
CHEMBL256962;C[C@@]12CC[C@@H](C1)C(C)(C)[C@H]2NC(=O)c3ccc(Br)c(c3)S(=O)(=O)N4CCOCC4;Ki;89;7.05;485.44;3.41
CHEMBL426585;CCc1c(nc(c2ccc(Cl)cc2Cl)n1c3ccc(Cl)cc3)C(=O)NN4CCCCC4;Ki;14;7.85;477.82;6.19
CHEMBL1269765;Cc1c(nn(c2ccc(Cl)cc2Cl)c1c3ccc(Cl)cc3)C(=O)NCCCCCNCCCCCNC(=O)c4nn(c5ccc(Cl)cc5Cl)c(c4C)c6ccc(Cl)cc6;Ki;68.1;7.17;914.59;12.02
CHEMBL225506;CCCCCc1cc(O)cc(OCCCCCCCCCCC(=O)NC2CC2)c1;Ki;5.2;8.28;403.61;6.29
CHEMBL572192;CC1(C)C(C(=O)c2cn(CCC3CCOCC3)c4ccccc24)C1(C)C;Ki;91.2;7.04;353.51;5.32
CHEMBL571550;CCCCn1cc(C(=O)C2C(C)(C)C2(C)C)c3ccccc13;Ki;91;7.04;297.44;5.31
CHEMBL571550;CCCCn1cc(C(=O)C2C(C)(C)C2(C)C)c3ccccc13;Ki;91.2;7.04;297.44;5.31
CHEMBL575382;Cc1ccc(C)n1c2c(C)c(nn2c3ccc(Cl)c(Cl)c3)C(=O)NC45CC6CC(CC(C6)C4)C5;Ki;5.6;8.25;497.47;6.59
CHEMBL573546;C[C@H](NC(=O)c1nn(c2ccc(Cl)c(Cl)c2)c(c1C)n3cccc3)C4CCCCC4;Ki;3.4;8.47;445.39;5.98
CHEMBL574480;C[C@@H](NC(=O)c1nn(c2ccc(Cl)c(Cl)c2)c(c1C)n3cccc3)C4CCCCC4;Ki;14;7.85;445.39;5.98
CHEMBL493068;CC(C)NCC#Cc1ccc(s1)c2c(C)c(nn2c3ccc(Cl)cc3Cl)C(=O)NN4CCCCC4;IC50;82.4;7.08;530.53;5.7
CHEMBL518817;CCCCCc1ccc(s1)c2c(C)c(nn2c3ccc(Cl)cc3Cl)C(=O)NN4CC5CCCC5C4;EC50;48;7.32;531.55;7.33
CHEMBL462686;CC(C)CC#Cc1ccc(s1)c2c(C)c(nn2c3ccc(Cl)cc3Cl)C(=O)NN4CCCCCC4;EC50;14.6;7.84;529.54;7.13
CHEMBL461428;CCCCC#Cc1ccc(s1)c2c(C)c(nn2c3ccc(Cl)cc3Cl)C(=O)NN4CCCCC4;IC50;1.4;8.85;515.51;6.89
CHEMBL462053;CCCCCc1ccc(s1)c2c(C)c(nn2c3ccc(Cl)cc3Cl)C(=O)NN4CCCCC4;IC50;57.9;7.24;505.52;7.08
CHEMBL462070;CCCC#Cc1ccc(s1)c2c(C)c(nn2c3ccc(Cl)cc3Cl)C(=O)NN4CCCCC4;IC50;13.9;7.86;501.48;6.5
CHEMBL493916;Cc1c(nn(c1c2ccc(C#CC3CC3)s2)c4ccc(Cl)cc4Cl)C(=O)NN5CCCCC5;EC50;72.9;7.14;499.47;6.11
CHEMBL522904;CCc1c(nn(c1c2ccc(Cl)cc2)c3ccc(Cl)cc3Cl)C4=NC(C)(C)C(=O)N4C;EC50;65.5;7.18;475.81;6.06
CHEMBL462053;CCCCCc1ccc(s1)c2c(C)c(nn2c3ccc(Cl)cc3Cl)C(=O)NN4CCCCC4;EC50;75.9;7.12;505.52;7.08
CHEMBL492861;CC(C)OCC#Cc1ccc(s1)c2c(C)c(nn2c3ccc(Cl)cc3Cl)C(=O)NN4CCCCC4;EC50;57.4;7.24;531.51;6.12
CHEMBL489438;FC(F)(F)c1ccc(cc1)[C@@H]2C[C@H]2C(=O)N3CCN(CC3)S(=O)(=O)c4cc(cc(c4)C(F)(F)F)C5CC5;IC50;0.1;10;546.53;5.24
CHEMBL571999;O=C(c1cn(CC2CCOCC2)c3ccccc13)C45CC6CC(CC4C6)C5;Ki;73;7.14;363.5;5.08
CHEMBL230356;Cc1c2C(=O)N(CCc2n(c1c3ccc(Cl)cc3)c4ccc(Cl)cc4Cl)N5CCCCC5;Ki;2.2;8.66;488.85;6.81
CHEMBL201552;COCC(=O)NC1=C(C(=O)C)C(=O)N(C)c2nc(c3ccc(Cl)cc3Cl)c(cc12)c4ccc(Cl)cc4;IC50;24;7.62;544.82;6.02
CHEMBL202169;CC(=O)NC1=C(C(=O)C)C(=O)N(Cc2ccccc2)c3nc(c4ccc(Cl)cc4Cl)c(cc13)c5ccc(Cl)cc5;IC50;2.3;8.64;590.89;7.9
CHEMBL558598;Cl.Cc1c(nn(c2ccc(Cl)cc2Cl)c1c3ccc(Cl)cc3)C(=O)NN4CCCCC4;Ki;5.4;8.27;500.26;5.94
CHEMBL179473;Cn1c(nc(c2ccc(Cl)cc2Cl)c1c3ccc(Cl)cc3)C(=O)NC4CCCCC4;IC50;4;8.4;462.81;6.78
CHEMBL360711;CCCCCCNC(=O)c1cnc(c2ccc(Cl)cc2Cl)c(c1)c3ccc(Cl)cc3;IC50;65;7.19;461.82;7.69
CHEMBL180144;Cn1c(nc(c2ccc(Cl)cc2Cl)c1c3ccc(Cl)cc3Cl)C(=O)NN4CCCCC4;IC50;16;7.8;498.24;6.5
CHEMBL201602;CC1=Nc2c(nn(c3ccccc3Cl)c2c4ccc(Cl)cc4)C(=O)N1CC(F)(F)F;Ki;0.6;9.22;453.25;5.43
CHEMBL598125;CC(C)CCNS(=O)(=O)[C@@H]1CC[C@H](N(C1)c2ccc(Cl)cc2)c3ccc(Cl)cc3Cl;Ki;9.1;8.04;489.9;6.32
CHEMBL1269776;CN(CCCCCCCCCCCN)CCCCCCCCCCCNC(=O)c1nn(c2ccc(Cl)cc2Cl)c(c1C)c3ccc(Cl)cc3;Ki;5.51;8.26;733.31;11.45
CHEMBL1269774;Cc1c(nn(c2ccc(Cl)cc2Cl)c1c3ccc(Cl)cc3)C(=O)NCCCCCCCCCCCNCCCCCCCCCCCN;Ki;2.3;8.64;719.29;11.11
CHEMBL591994;Clc1ccc(cc1)N2C[C@H](CCNS(=O)(=O)c3ccc(cc3)C#N)CC[C@H]2c4ccc(Cl)cc4Cl;Ki;4.2;8.38;548.92;6.84
CHEMBL591542;Clc1ccc(cc1)N2C[C@H](CNC(=O)c3ccc(cc3)C#N)CC[C@H]2c4ccc(Cl)cc4Cl;Ki;5;8.3;498.84;6.91
CHEMBL1091812;Cc1ccc(cc1)C(N2CCN(CC2)C(=O)NN3CCCCC3)c4ccc(Cl)cc4Cl;Ki;3;8.52;461.44;5.12
CHEMBL1091814;Clc1ccc(C(N2CCN(CC2)C(=O)NC3CCCCC3)c4ccc(Oc5ccccc5)cc4)c(Cl)c1;Ki;1.1;8.96;538.52;7.54
CHEMBL592628;Fc1ccc(C[C@H]2CC[C@@H](N(C2)c3ccc(Cl)cc3)c4ccc(Cl)cc4Cl)cc1F;Ki;15;7.82;466.79;8.13
CHEMBL592472;Fc1ccc(C[C@H]2CC[C@@H](N(C2)c3ccc(Cl)cc3)c4ccc(Cl)cc4)cc1F;Ki;72;7.14;432.34;7.47
CHEMBL1095159;CC1(C)CC(NC(=O)C(F)(F)CO)c2cc(c3ccc(Cl)cc3)c(nc2O1)c4ccc(Cl)cc4Cl;IC50;0.6;9.22;541.81;6.72
CHEMBL1095150;Cc1n[nH]cc1C(=O)N[C@@H]2CC(C)(C)Oc3nc(c4ccc(Cl)cc4Cl)c(cc23)c5ccc(Cl)cc5;IC50;0.3;9.52;541.87;7.44
CHEMBL1095554;CC1(C)C[C@@H](NC(=O)c2ccc3[nH]ncc3c2)c4cc(c5ccc(Cl)cc5)c(nc4O1)c6ccc(Cl)cc6Cl;IC50;0.6;9.22;577.9;8.28
CHEMBL1095211;CC1(C)C[C@@H](NC(=O)CC(O)(C(F)(F)F)C(F)(F)F)c2cc(c3ccc(Cl)cc3)c(nc2O1)c4ccc(Cl)cc4Cl;IC50;1.1;8.96;641.82;8.34
CHEMBL180564;Clc1ccc(cc1)c2ccc(nc2c3ccc(Cl)cc3Cl)C(=O)NN4CCCCC4;IC50;56;7.25;460.79;6.51
CHEMBL1923761;CCCCCCc1ccc(O)cc1OCCCCCCCCCCC(=O)OC(CO)CO;Ki;60;7.22;452.63;5.3
CHEMBL2316385;C[S+]([O-])Cc1ccc(C(=O)Nc2nccnc2C(=O)NCC3CCC3)c4ccccc14;IC50;37;7.43;436.54;3.29
CHEMBL2316385;C[S+]([O-])Cc1ccc(C(=O)Nc2nccnc2C(=O)NCC3CCC3)c4ccccc14;IC50;47;7.33;436.54;3.29
CHEMBL2316376;COc1ccc(NC(=O)c2ccc(Cn3ccnn3)c4ccccc24)c(n1)C(=O)NCC5CCCCC5;IC50;0.85;9.07;498.59;4.45
CHEMBL2316391;O=C(Nc1cccnc1C(=O)NCC2CCCCC2)c3cccc4ccccc34;IC50;10;8;387.48;4.8
CHEMBL2316410;O=C(NCC1CCC1)c2ncccc2NC(=O)c3ccc(Cn4cccn4)c5ccccc35;EC50;23;7.64;439.52;4.26
CHEMBL2316282;CCCCCN1C=C(C(=O)NC2CCCCC2)C(=O)c3c(C)csc13;Ki;86;7.07;360.52;4.62
CHEMBL2316396;O=C(Nc1cccnc1C(=O)NCC2CCOCC2)c3cccc4ccccc34;EC50;81;7.09;389.46;3.64
CHEMBL2152826;CCCCCN1C=C(C(=O)NN2CCCCC2)C(=O)c3ccc(Sc4ccccc4)cc13;Ki;28.9;7.54;449.62;5.47
CHEMBL2153772;C[C@@H](O)[C@H](N\C(=N/S(=O)(=O)c1ccc(Cl)cc1)\N2CC(C(=N2)c3ccc(Cl)cc3)c4ccccc4)C(=O)N[C@@H](CO)C(=O)N;IC50;7;8.15;661.57;1.84
CHEMBL393263;NC(=O)c1cc(c2ccc(Cl)cc2)c(nc1Oc3ccc(F)c(F)c3)c4ccc(Cl)cc4Cl;IC50;11;7.96;505.74;7.55
CHEMBL393262;Clc1ccc(cc1)c2cc(C#N)c(nc2c3ccccc3Cl)c4cncnc4;IC50;38;7.42;403.27;6.05
CHEMBL234207;CCCCCCC(C)(C)c1ccc(c(O)c1)c2cccnc2;Ki;23;7.64;297.44;5.7
CHEMBL391134;CCCCCCC(C)(C)c1ccc(c(O)c1)c2cccc(C)c2C;Ki;49;7.31;324.51;6.92
CHEMBL245777;C[C@H](NS(=O)(=O)C)c1ccc(cc1)S(=O)(=O)c2ccc(Cl)cc2S(=O)(=O)c3ccccn3;Ki;2.9;8.54;515.03;3.01
CHEMBL245350;C[C@H](NS(=O)(=O)C(F)(F)F)c1ccc(cc1)S(=O)(=O)c2ccc(Cl)cc2S(=O)(=O)c3c(N)cccc3F;Ki;4.1;8.39;601.02;4.23
CHEMBL245981;C[C@H](NS(=O)(=O)C(F)(F)F)c1ccc(cc1)S(=O)(=O)c2ccc(C)cc2S(=O)(=O)c3ccccc3F;Ki;1.1;8.96;565.59;4.3
CHEMBL246570;C[C@H](NS(=O)(=O)C(F)(F)F)c1ccc(cc1)S(=O)(=O)c2ccc(Cl)cc2S(=O)(=O)c3c(F)cccc3NC4CC4;Ki;14.4;7.84;641.09;5.22
CHEMBL245784;C[C@H](NS(=O)(=O)C(F)(F)F)c1ccc(cc1)S(=O)(=O)c2ccc(cc2S(=O)(=O)c3ccccc3F)C(F)(F)F;Ki;2.5;8.6;619.56;5.01
CHEMBL594526;NC(=O)Cc1c(nn(c2ccccc2Cl)c1c3ccc(Cl)cc3)C(=O)N4CCC(CC4)(C#N)c5ccccc5;IC50;0.11;9.96;558.47;5.57
CHEMBL596166;NC(=O)Cc1c(nn(c2ccccc2Cl)c1c3ccc(Cl)cc3)C(=O)N4CCC(O)(CC4)c5ccccn5;IC50;2;8.7;550.45;4.39
