Canonical Smiles;Standard Type;Standard Value;pChEMBL Value;Molecular Weight;ALogP
CC(C)NCC#Cc1ccc(s1)c2c(C)c(nn2c3ccc(Cl)cc3Cl)C(=O)NN4CCCCC4;IC50;82.4;7.08;530.53;5.7
CCCCCc1ccc(s1)c2c(C)c(nn2c3ccc(Cl)cc3Cl)C(=O)NN4CC5CCCC5C4;EC50;48;7.32;531.55;7.33
CC(C)CC#Cc1ccc(s1)c2c(C)c(nn2c3ccc(Cl)cc3Cl)C(=O)NN4CCCCCC4;EC50;14.6;7.84;529.54;7.13
CCCCC#Cc1ccc(s1)c2c(C)c(nn2c3ccc(Cl)cc3Cl)C(=O)NN4CCCCC4;IC50;1.4;8.85;515.51;6.89
CCCCCc1ccc(s1)c2c(C)c(nn2c3ccc(Cl)cc3Cl)C(=O)NN4CCCCC4;IC50;57.9;7.24;505.52;7.08
CCCC#Cc1ccc(s1)c2c(C)c(nn2c3ccc(Cl)cc3Cl)C(=O)NN4CCCCC4;IC50;13.9;7.86;501.48;6.5
Cc1c(nn(c1c2ccc(C#CC3CC3)s2)c4ccc(Cl)cc4Cl)C(=O)NN5CCCCC5;EC50;72.9;7.14;499.47;6.11
CCc1c(nn(c1c2ccc(Cl)cc2)c3ccc(Cl)cc3Cl)C4=NC(C)(C)C(=O)N4C;EC50;65.5;7.18;475.81;6.06
CCCCCc1ccc(s1)c2c(C)c(nn2c3ccc(Cl)cc3Cl)C(=O)NN4CCCCC4;EC50;75.9;7.12;505.52;7.08
CC(C)OCC#Cc1ccc(s1)c2c(C)c(nn2c3ccc(Cl)cc3Cl)C(=O)NN4CCCCC4;EC50;57.4;7.24;531.51;6.12
FC(F)(F)c1ccc(cc1)[C@@H]2C[C@H]2C(=O)N3CCN(CC3)S(=O)(=O)c4cc(cc(c4)C(F)(F)F)C5CC5;IC50;0.1;10;546.53;5.24
