Canonical Smiles;Standard Type;Standard Value;pChEMBL Value;Molecular Weight;ALogP
CC(O)(C(=O)NC1CC(C)(C)Oc2nc(c3ccc(Cl)cc3Cl)c(cc12)c4ccc(Cl)cc4)C(F)(F)F;IC50;0.7;9.15;573.83;7.41
CC1(C)C[C@@H](NC(=O)c2n[nH]c3CCCc23)c4cc(c5ccc(Cl)cc5)c(nc4O1)c6ccc(Cl)cc6Cl;IC50;1.4;8.85;567.9;7.62
Cn1cc(Cc2cccc(n2)c3cccc4OCOc34)c5cc(NC(=O)C(C)(C)CO)ccc15;IC50;7;8.15;457.53;4.52
Fc1ccc(COc2nc(c3ccc(Cl)cc3Cl)c(cc2C#N)c4ccc(Cl)cc4)c(F)c1;IC50;2.7;8.57;501.75;8.1
C[C@H](NC(=O)C(C)(C)Nc1ncc(cc1Cl)C(F)(F)F)[C@@H](Cc2ccc(Cl)cc2)c3cccc(c3)C#N;IC50;17.9;7.75;549.42;7
CCCCCC1=NN(CC1c2ccccc2)C(=O)c3cccc4ccccc34;EC50;31.62;7.5;370.5;6.02
CCCCCN1N=C(CC1c2ccccc2)C(=O)NC(C)(C)c3ccc(F)cc3;EC50;3.981;8.4;395.52;5.17
CC(C)(C)C(=O)Nc1ccc2ccn(Cc3cccc(c3)c4cccc5OCOc45)c2c1;IC50;51;7.29;426.52;6.07
FC(F)(F)c1ccc(cc1)C(N2CCN(CC2)C(=O)NC3CCCCC3)c4ccc(Cl)cc4Cl;IC50;57;7.24;514.42;6.76
C[C@@H](O)C(=O)NC1CC(C)(C)Oc2nc(c(cc12)c3ccc(Cl)cc3)c4ccc(Cl)cc4Cl;IC50;16;7.8;505.83;6.48
CC(C)(O)C(=O)NC1CC2(CCCCC2)Oc3nc(c4ccccc4Cl)c(cc13)c5ccc(Cl)cc5;IC50;18;7.75;525.48;7.14
OCC(=O)NC1CC2(CCCCC2)Oc3nc(c4ccccc4Cl)c(cc13)c5ccc(Cl)cc5;IC50;0.3;9.52;497.42;6.36
C[C@@H](O)NC(=O)C1CC(C)(C)N(C)c2nc(c3ccc(Cl)cc3Cl)c(cc12)c4ccc(Cl)cc4;IC50;1.8;8.74;518.87;6.53
CN1C(=NC(=O)C1(C)C)c2nn(c3ccc(Cl)cc3Cl)c(c2C)c4ccc(Br)cc4;IC50;47.4;7.32;506.23;5.91
CN1C(=NC(=O)C1(C)C)c2nn(c(c2C)c3ccc(cc3)C(F)(F)F)c4ccc(Cl)cc4Cl;IC50;15.9;7.8;495.33;6.17
Cc1c(nn(c1c2ccc(Cl)cc2)c3ccc(Cl)cc3Cl)C4=NC(C)(C)C(=O)N4;IC50;53.4;7.27;447.75;5.46
CCc1c(nn(c1c2ccc(Cl)cc2)c3ccc(Cl)cc3Cl)C4=NC5(CCC5)C(=O)N4;IC50;22.8;7.64;473.79;5.86
Clc1ccc(C(N2CCN(CC2)C(=O)C3CCCCC3)c4ccccc4)c(Cl)c1;IC50;9.3;8.03;431.41;5.81
Clc1ccc(C(N2CCN(CC2)C(=S)NC3CCCCC3)c4ccccc4)c(Cl)c1;IC50;18;7.75;462.49;5.91
Clc1ccc(cc1)C(N2CCN(CC2)C(=O)NC3CCCCC3)c4ccc(Cl)cc4Cl;IC50;19;7.72;480.87;6.4
CC(C)(CO)C(=O)NC1CC(C)(C)Oc2nc(c3ccc(Cl)cc3Cl)c(cc12)c4ccc(Cl)cc4;IC50;2.1;8.68;533.88;7.11
Clc1ccc(cc1)c2cc(C#N)c(nc2c3ccc(Cl)cc3Cl)n4nnc5ccccc45;IC50;5.7;8.24;476.75;6.98
Clc1ccc(cc1)c2cc(C#N)c(OCC3CCOC3)nc2c4ccc(Cl)cc4Cl;IC50;6.6;8.18;459.76;6.66
Fc1ccc(COc2nc(c3ccccc3Cl)c(cc2C#N)c4ccc(Cl)cc4)cc1F;IC50;8;8.1;467.3;7.45
Cc1n[nH]c(C)c1C(=O)N[C@@H]2CC(C)(C)Oc3nc(c4ccc(Cl)cc4Cl)c(cc23)c5ccc(Cl)cc5;IC50;0.2;9.7;555.89;7.75
Clc1cccc2c(cn(CC3CCOCC3)c12)c4nc(CN5CCOCC5)cs4;EC50;50.12;7.3;431.99;4.68
COc1ccc(cc1)c2ncc(nc2c3ccc(OC)cc3)C(=O)NN4CCCCC4;IC50;21;7.68;418.5;3.96
Brc1ccc(cc1)c2ncc(nc2c3ccc(Br)cc3)C(=O)NN4CCCCC4;IC50;1;9;516.24;5.47
COc1ccc(OC(F)(F)F)cc1Cn2c(cc3cc(ccc23)C#N)C(=O)NCC(C)(C)O;IC50;22.39;7.65;461.44;3.97
Cc1ccc(F)cc1Cn2c(cc3cc(ccc23)C#N)C(=O)NCC4(CO)CCC4;IC50;4.898;8.31;405.47;3.9
Cc1ccc(Cl)cc1Cn2c(cc3cc(ccc23)C#N)C(=O)NCC(C)(C)CO;IC50;0.5754;9.24;409.92;4.27
CC(C)(CO)CNC(=O)c1cc2cc(ccc2n1Cc3cccc(OC(F)(F)F)c3)C#N;IC50;1.82;8.74;445.44;4.21
ONC(=N)Cc1c(nn(c2ccccc2Cl)c1c3ccc(Cl)cc3)C(=O)NN4CCCCC4;IC50;1.3;8.89;487.39;4.48
NC(=O)Cc1c(nn(c2ccccc2Cl)c1c3ccc(Cl)cc3)C(=O)NN4CCCCC4;IC50;1.4;8.85;472.38;4
COc1cc(F)ccc1c2cccc(Cc3cn(C)c4ccc(NC(=O)C(C)(C)CO)cc34)n2;IC50;27;7.57;461.54;4.94
Cn1cc(Cc2cccc(n2)c3cccc4OCOc34)c5cc(NC(=O)CC(C)(C)O)ccc15;IC50;5;8.3;457.53;4.66
CCCCCCNC(=O)c1ccc(c2ccc(Cl)cc2)c(n1)c3ccc(Cl)cc3Cl;IC50;43;7.37;461.82;7.69
Clc1ccc(cc1)c2cc(C#N)c(OCc3ccccc3)nc2c4ccc(Cl)cc4Cl;IC50;11;7.96;465.77;7.83
Cc1c(nn(c2ccc(Cl)c(Cl)c2)c1n3cccc3)C(=O)NN4CCCCC4;IC50;54;7.27;418.33;4.41
Cc1ccc(cc1)c2ncc(nc2c3ccc(C)cc3)C(=O)NC4CCCCC4;IC50;13;7.89;385.51;5.49
Cc1c(nn(c2ccc(Cl)cc2Cl)c1n3c(C)ccc3C)C(=O)NN4CCCCC4;IC50;67;7.17;446.38;5.03
Cc1c(nn(c2ccc(Cl)c(Cl)c2)c1n3cccc3)C(=O)NCc4ccc(Cl)c(Cl)c4;IC50;62;7.21;494.21;6.52
CCC(N)(CC)C#Cc1nc(c2ccccc2Cl)c(cc1C#N)c3ccc(Cl)cc3;IC50;39;7.41;434.37;6.46
Fc1ccc(Oc2nc(c3ccccc3Cl)c(cc2C#N)c4ccc(Cl)cc4)cc1F;IC50;25;7.6;453.28;7.66
Clc1ccc(cc1)c2cc(C#N)c(Oc3cc(Cl)cc(Cl)c3)nc2c4ccc(Cl)cc4Cl;IC50;3.9;8.41;520.63;9.35
Clc1ccc(Oc2nc(c3ccc(Cl)cc3Cl)c(cc2C#N)c4ccc(Cl)cc4)cc1;IC50;7;8.15;486.19;8.69
Fc1ccc(Oc2nc(c3ccc(Cl)cc3Cl)c(cc2C#N)c4ccc(Cl)cc4)cc1;IC50;14;7.85;469.73;8.18
CN1C(=O)C(=C(NC(=O)C)c2cc(c3ccc(Cl)cc3)c(nc12)c4ccc(Cl)cc4Cl)C#N;IC50;35;7.46;497.77;6.06
CN1C(=O)C(=C(NC(=O)C)c2cc(c3ccc(Cl)cc3)c(nc12)c4ccc(Cl)cc4Cl)C;IC50;26;7.58;486.79;6.49
CC(C)C1=C(NC(=O)C)c2cc(c3ccc(Cl)cc3)c(nc2N(C)C1=O)c4ccc(Cl)cc4Cl;IC50;15;7.82;514.84;7.31
Clc1ccc(cc1)c2cc(C#N)c(nc2c3ccc(Cl)cc3Cl)n4ccnc4;IC50;12;7.92;425.71;6.43
Fc1ccc(Nc2nc(c3ccc(Cl)cc3Cl)c(cc2C#N)c4ccc(Cl)cc4)cc1;IC50;50;7.3;468.75;8.13
Fc1ccc(cc1)C2(Oc3cc(F)c(cc3O2)S(=O)(=O)N4CCOCC4)c5ccc(Cl)cc5Cl;EC50;3;8.52;528.36;4.97
Fc1ccc(cc1)C2(Oc3cc(F)c(cc3O2)C(=O)N4CCOCC4)c5ccc(Cl)cc5Cl;EC50;11;7.96;492.31;5.42
Cc1c(nn(c2ccc(Cl)cc2Cl)c1c3ccc(I)cc3)C(=O)NN4CCCCC4;IC50;3.5;8.46;555.25;5.89
Clc1ccc(c(Cl)c1)c2oc(nc2c3ccc(Cl)cc3Cl)C(=O)NC4CCCCC4;IC50;70;7.16;484.21;7.68
Fc1ccc(c(F)c1)C2(Oc3cc(F)c(cc3O2)S(=O)(=O)N4CCC(F)(F)CC4)c5ccc(F)cc5F;EC50;3;8.52;547.45;5.47
C[C@H](NC(=O)C(C)(C)Oc1ccc(cn1)C(F)(F)F)[C@@H](Cc2ccc(Cl)cc2)c3cccc(c3)C#N;IC50;0.74;9.13;515.96;6.31
Clc1ccccc1C(N2CCN(CC2)C(=O)NC3CCCCC3)c4ccc(Br)cc4;IC50;62.8;7.2;490.87;5.85
Fc1ccc(COc2nc(c3ccccc3Cl)c(cc2C#N)c4ccc(Cl)cc4)cc1F;IC50;8;8.1;467.3;7.45
NC(=O)c1cc(c2ccc(Cl)cc2)c(nc1OCc3ccccc3)c4ccc(Cl)cc4Cl;IC50;18;7.75;483.78;7.05
CCNC(=O)c1cc(c2ccc(Cl)cc2)c(nc1OCc3ccccc3)c4ccc(Cl)cc4Cl;IC50;1.4;8.85;511.84;7.7
COC(=O)c1cc(c2ccc(Cl)cc2)c(nc1OCc3ccccc3)c4ccc(Cl)cc4Cl;IC50;3.5;8.46;498.79;7.74
Fc1cc(F)cc(Oc2nc(c3ccc(Cl)cc3Cl)c(cc2C#N)c4ccc(Cl)cc4)c1;IC50;0.91;9.04;487.72;8.32
O=C(Oc1cccc2cccnc12)c3cccc(c3)S(=O)(=O)N4CCCCC4;IC50;15.85;7.8;396.47;3.63
C[C@H](NC(=O)C(C)(C)Oc1cc(ncn1)C(F)(F)F)[C@@H](Cc2ccc(OCCF)cc2)c3cccc(c3)C#N;IC50;1.8;8.74;544.55;5.4
C[C@H](NC(=O)C(C)(C)Oc1ccc(cn1)C#N)[C@@H](Cc2ccc(OCCF)cc2)c3cccc(c3)C#N;IC50;1.8;8.74;500.57;4.86
Cc1ccc(cc1S(=O)(=O)N2CCOCC2)C(=O)Oc3cccc4cccnc34;IC50;1.259;8.9;412.47;2.78
Cn1c(nc(c2ccc(Cl)cc2Cl)c1c3ccc(Cl)cc3Cl)C(=O)NC4CCCCC4;IC50;5.2;8.28;497.25;7.43
Clc1ccc(cc1)c2ccc(nc2c3ccc(Cl)cc3Cl)C(=O)NC4CCCCCC4;IC50;35;7.46;473.83;7.83
Cc1c(nn(c2ccc(Cl)cc2Cl)c1c3ccc(Cl)cc3)C(=O)NN4CCCCC4;IC50;6.1;8.21;463.8;5.94
C[C@H](NS(=O)(=O)Cc1cccc(Cl)c1)[C@@H](Cc2ccc(Cl)cc2)c3cccc(c3)C#N;IC50;53.5;7.27;473.43;5.7
C[C@H](NS(=O)(=O)c1cccc2ccccc12)[C@@H](Cc3ccc(Cl)cc3)c4cccc(c4)C#N;IC50;21.1;7.68;475.01;6.06
C[C@H](NS(=O)(=O)c1cc(Cl)cc(Cl)c1)[C@@H](Cc2ccc(Cl)cc2)c3cccc(c3)C#N;IC50;11.4;7.94;493.84;6.21
CN(C)C(=O)c1cc(c2ccc(Cl)cc2)c(nc1OCc3ccccc3)c4ccc(Cl)cc4Cl;IC50;22;7.66;511.84;7.66
Clc1ccc(cc1)c2cc(C(=O)NN3CCCCC3)c(OCc4ccccc4)nc2c5ccc(Cl)cc5Cl;IC50;41;7.39;566.92;8.09
C[C@H](NS(=O)(=O)Cc1ccc(Cl)cc1)[C@@H](Cc2ccc(Cl)cc2)c3cccc(c3)C#N;IC50;15.4;7.81;473.43;5.7
CC(C)NC(=O)c1cc(c2ccc(Cl)cc2)c(nc1OCc3ccc(F)c(F)c3)c4ccc(Cl)cc4Cl;IC50;1.8;8.74;561.84;8.37
C[C@H](NS(=O)(=O)Cc1ccccc1Cl)[C@@H](Cc2ccc(Cl)cc2)c3cccc(c3)C#N;IC50;16;7.8;473.43;5.7
C[C@H](NS(=O)(=O)c1ccccc1Cl)[C@@H](Cc2ccc(Cl)cc2)c3cccc(c3)C#N;IC50;12.3;7.91;459.4;5.56
Clc1ccc(cc1)c2nc(OCc3ccccc3)c(cc2c4ccccc4)C#N;IC50;67;7.17;396.88;6.52
CCCCCCNC(=O)c1nn(c2ccc(Cl)cc2Cl)c(c1C)c3ccc(C#CCCCC)s3;IC50;2.6;8.59;516.54;8.07
CC(C)CC#Cc1ccc(s1)c2c(C)c(nn2c3ccc(Cl)cc3Cl)C(=O)NN4CCCCCC4;IC50;4.9;8.31;529.54;7.13
Cc1c(nn(c2ccc(Cl)cc2Cl)c1c3ccc(Br)s3)C(=O)NN4CCCCC4;EC50;68.2;7.17;514.28;6.11
CCOCC#Cc1ccc(s1)c2c(C)c(nn2c3ccc(Cl)cc3Cl)C(=O)NN4CCCCC4;EC50;25.5;7.59;517.48;5.73
CCCCCCNC(=O)c1nn(c2ccc(Cl)cc2Cl)c(c1C)c3ccc(C#CCCCC)s3;EC50;74;7.13;516.54;8.07
CCCCC#Cc1ccc(s1)c2c(C)c(nn2c3ccc(Cl)cc3Cl)C(=O)NN4CC5CCCC5C4;EC50;5.7;8.24;541.55;7.13
CCCC#Cc1ccc(s1)c2c(C)c(nn2c3ccc(Cl)cc3Cl)C(=O)NN4CCCCCC4;EC50;14.1;7.85;515.51;6.89
CCCC#Cc1ccc(s1)c2c(CC)c(nn2c3ccc(Cl)cc3Cl)C(=O)NN4CCCCC4;IC50;6.1;8.21;515.51;6.75
CN(C)C(=O)Oc1cc(cc(c1)S(=O)(=O)N2CCN(CC2)C(=O)[C@@H]3C[C@H]3c4ccc(cc4)C(F)(F)F)C(F)(F)F;IC50;2;8.7;593.55;4.42
FC(F)(F)c1ccc(cc1)[C@@H]2C[C@H]2C(=O)N3CCN(CC3)S(=O)(=O)c4cc(cc(c4)C(F)(F)F)n5cccn5;IC50;0.7;9.15;572.53;4.55
C[C@H](NC(=O)C(C)(C)Oc1ccncc1)[C@H](Cc2ccc(Cl)cc2)c3ccccc3;IC50;16.98;7.77;422.96;5.42
Clc1ccc(cc1)c2ncc(nc2c3ccc(Cl)cc3)C(=O)NN4CCCCC4;IC50;8.128;8.09;427.34;5.25
COc1ccc(cc1)c2ncc(nc2c3ccc(OC)cc3)C(=O)NN4CCCCC4;IC50;42.66;7.37;418.5;3.96
CN1C(=O)C(=C(NC(=O)C)c2cc(c3ccc(Cl)cc3)c(nc12)c4ccc(Cl)cc4Cl)C#N;IC50;35.48;7.45;497.77;6.06
CN\C(=N/S(=O)(=O)c1ccc(Cl)cc1)\N2CC(C(=N2)c3ccc(Cl)cc3)c4ccccc4;IC50;1.905;8.72;487.41;4.76
COCCN(C)Cc1nc(ns1)c2cn(CC3CCOCC3)c4c(Cl)cccc24;EC50;79.43;7.1;434.99;4.32
CS(=O)(=O)N(CCO)Cc1nc(ns1)c2cn(CC3CCOCC3)c4c(Cl)cccc24;EC50;19.95;7.7;485.03;2.99
CCCNC(=O)c1cc(c2ccc(Cl)cc2)c(nc1OCc3ccc(F)c(F)c3)c4ccc(Cl)cc4Cl;IC50;1.7;8.77;561.84;8.37
Cc1c(nn(c2ccc(Cl)cc2Cl)c1n3cccc3)C(=O)NCc4ccc(Cl)c(Cl)c4;IC50;66;7.18;494.21;6.52
C[C@H](NC(=O)C(C)(C)Oc1ccc(Cl)cc1)[C@@H](Cc2ccc(Cl)cc2)c3ccccc3F;IC50;12;7.92;474.4;6.82
Cl.CCc1sc(nc1CN(CCO)C(C)C)c2cn(CC3CCOCC3)c4c(Cl)cccc24;EC50;2.512;8.6;512.55;5.61
Cl.COc1cccc2c(cn(CC3CCCCC3)c12)C(=O)N4C[C@H]5CCCN5C[C@H]4C;EC50;63.1;7.2;446.04;4.54
Cc1c(C(=O)c2cccc3ccccc23)c4cccc5OC[C@@H](CN6CCOCC6)n1c45;EC50;50.12;7.3;426.52;4.6
COc1ccc(cc1Cn2c(cc3cc(ccc23)C#N)C(=O)NCC(C)(C)O)C(F)(F)F;IC50;11.48;7.94;445.44;4.09
CCN(C)c1cccc(n1)c2cccc(NC(=O)Nc3ccc(Cl)cc3)c2;IC50;53.7;7.27;380.88;5.5
CCCCCn1cc(C(=O)c2cccc3ccccc23)c4cccnc14;EC50;31.62;7.5;342.44;5.61
Cn1c(nc(c2ccc(Cl)cc2Cl)c1c3ccc(Cl)cc3)C(=O)Nc4ccccc4;IC50;60;7.22;456.76;6.97
FC1(F)CCN(Cc2nc(C(=O)c3cccc(Cl)c3Cl)n4ccccc24)CC1;IC50;90;7.05;424.28;5.1
OCC1(CNC(=O)c2nc(CN3CCC(F)(F)CC3)n4ccccc24)CCCC1;IC50;68;7.17;406.48;2.85
CCN(CC)Cc1csc(n1)c2cn(CC3CCOCC3)c4c(F)cccc24;EC50;79.43;7.1;401.55;5.17
Cl.COCCN(C)Cc1csc(n1)c2cn(CC3CCCCC3)c4c(Cl)cccc24;EC50;63.1;7.2;468.49;6.08
Cl.CC(C)N(CCO)Cc1nc(sc1Cl)c2cn(CC3CCOCC3)c4c(Cl)cccc24;EC50;10;8;518.94;5.7
CCCNC(=O)c1cc(c2ccc(Cl)cc2)c(nc1OCc3ccc(F)c(F)c3)c4ccc(Cl)cc4Cl;EC50;50;7.3;561.84;8.37
CNC(=O)c1cc(c2ccc(Cl)cc2)c(nc1OCC3CCCCC3)c4ccc(Cl)cc4Cl;IC50;3.4;8.47;503.86;7.69
C[C@H](NC(=O)C(C)(C)Oc1ccc(C)cn1)[C@@H](Cc2ccc(OCCF)cc2)c3cccc(c3)C#N;IC50;0.7;9.15;489.59;5.3
C[C@H](NC(=O)C(C)(C)Oc1cc(F)cc(F)c1)[C@@H](Cc2ccc(Cl)cc2)c3ccccc3;IC50;1.1;8.96;457.95;6.31
C[C@H](NC(=O)C(C)(C)Oc1cccc(F)c1)[C@@H](Cc2ccc(Cl)cc2)c3ccccc3;IC50;1.6;8.8;439.96;6.17
Cc1c(nn(c2ccc(Cl)c(Cl)c2)c1n3c(C)ccc3C)C(=O)NN4CCCCC4;IC50;50;7.3;446.38;5.03
C[C@H](NC(=O)C(C)(C)Oc1ccccc1)[C@@H](Cc2ccc(Cl)cc2)c3ccccc3;IC50;2;8.7;421.97;6.03
FC(F)(F)c1ccc(cc1)[C@@H]2C[C@H]2C(=O)N3CCN(CC3)S(=O)(=O)c4cc(cc(c4)C(F)(F)F)c5cn[nH]c5;IC50;9;8.05;572.53;4.75
Oc1cc(cc(c1)S(=O)(=O)N2CCN(CC2)C(=O)[C@@H]3C[C@H]3c4ccc(cc4)C(F)(F)F)C(F)(F)F;IC50;6;8.22;522.47;4.07
FC(F)(F)c1ccc(CC(=O)N2CCN(CC2)S(=O)(=O)c3cc(cc(c3)C(F)(F)F)C4CC4)cc1;IC50;1.2;8.92;520.5;4.68
Cc1cc(C)cc(c1)S(=O)(=O)N2CCN(CC2)C(=O)C3CCCCC3;EC50;1.1;8.96;364.51;2.72
FC(F)(F)c1ccc(CC(=O)N2CCN(CC2)S(=O)(=O)c3cc(Cl)cc(Cl)c3)cc1;EC50;0.5;9.3;481.32;4.09
O=C(C1CCCCC1)N2CCN(CC2)S(=O)(=O)c3cccc4ccccc34;EC50;0.6;9.22;386.52;3.25
CCC#Cc1ccc(s1)c2c(C)c(nn2c3ccc(Cl)cc3Cl)C(=O)NN4CCCCCC4;IC50;24.2;7.62;501.48;6.5
CC(C(=O)N1CCN(CC1)S(=O)(=O)c2cc(Cl)cc(Cl)c2)c3ccc(cc3)C(F)(F)F;EC50;1.5;8.82;495.35;4.65
FC(F)(F)c1ccc(CC(=O)N2CCN(CC2)S(=O)(=O)c3cc(cc(c3)C(F)(F)F)C4CC4)cc1;EC50;1.1;8.96;520.5;4.68
CSC(=S)N1CC2(CCCCC2)CO/C/1=N\c3ccc(Cl)c4ccccc34;IC50;8;8.1;419.02;6.41
CC(C)(C)C(=O)Nc1nc(c2ccc(Cl)cc2Cl)c(cc1C#N)c3ccc(Cl)cc3;IC50;29;7.54;458.78;7.23
COc1ccc(cc1S(=O)(=O)N2CCOCC2)C(=O)Oc3cccc4cccnc34;IC50;39.81;7.4;428.47;2.48
CC(C)(C)C#Cc1nc(c2ccccc2Cl)c(cc1C#N)c3ccc(Cl)cc3;IC50;5.9;8.23;405.33;6.99
CC(C)N1CCN(C(=O)C1=O)c2nc(c(cc2C#N)c3ccc(Cl)cc3)c4ccccc4Cl;IC50;12;7.92;479.37;5.18
Cc1c(nn(c2ccc(Cl)cc2Cl)c1c3ccc(Cl)cc3)C(=O)NN4CCCCC4;IC50;6.2;8.21;463.8;5.94
Clc1ccc(cc1)c2cc(C#N)c(OCCNC(=O)C3CCC3)nc2c4ccc(Cl)cc4Cl;IC50;5.7;8.24;500.81;6.54
Clc1ccc(cc1)c2cc(C#N)c(OC3CCOC3)nc2c4ccc(Cl)cc4Cl;IC50;11;7.96;445.73;6.42
CC(C)Oc1nc(c2ccc(Cl)cc2Cl)c(cc1C#N)c3ccc(Cl)cc3;IC50;10;8;417.72;7.03
COc1ccc(Oc2nc(c3ccc(Cl)cc3Cl)c(cc2C#N)c4ccc(Cl)cc4)cc1;IC50;26;7.58;481.77;8.05
ONC(=N)Cc1c(nn(c2ccccc2Cl)c1c3ccc(Cl)cc3)C(=O)NN4CCCCC4;IC50;1.8;8.74;487.39;4.48
NC(=O)Cc1c(nn(c2ccccc2Cl)c1c3ccc(Cl)cc3)C(=O)N4CCC(CC4)(C(=O)O)c5ccc(F)cn5;IC50;30;7.52;596.45;4.67
NC(=O)Cc1c(nn(c2ccccc2Cl)c1c3ccc(Cl)cc3)C(=O)N4CCC(CC4)c5ncccn5;IC50;0.3;9.52;535.44;4.68
O=C(Oc1cccc2cccnc12)c3cccc(c3)S(=O)(=O)N4CCCCC4;EC50;50.12;7.3;396.47;3.63
CC(C)(C)c1nc(c2ccc(F)cc2)c3cc(c4ccc(Cl)cc4)c(nc3n1)c5ccccc5Cl;IC50;0.63;9.2;502.42;8.77
CCc1c(nn(c1c2ccc(Cl)cc2)c3ccc(Cl)cc3Cl)C4=NC5(CCCC5)C(=O)N4;IC50;14.6;7.84;487.82;6.25
Clc1ccc(c(Cl)c1)c2nn(CC(=O)NCc3ccccc3Cl)nc2c4ccc(Cl)cc4Cl;EC50;12.2;7.91;540.67;7.2
COc1ccc(CNC(=O)Cn2nc(c3ccc(Cl)cc3Cl)c(n2)c4ccc(Cl)cc4Cl)cc1;IC50;81.9;7.09;536.25;6.55
Clc1ccc(CNC(=O)Cn2nc(c3ccc(Cl)cc3Cl)c(n2)c4ccc(Cl)cc4Cl)cc1;IC50;64.8;7.19;540.67;7.2
Fc1ccc(cc1)c2cc(C#N)c(OCc3ccc(F)c(F)c3)nc2c4ccc(Cl)cc4Cl;IC50;7.2;8.14;485.29;7.59
CCCNC(=O)c1cc(c2ccc(Cl)cc2)c(nc1OCc3ccccc3)c4ccc(Cl)cc4Cl;IC50;6;8.22;525.86;8.09
CC(C)(O)CCNC(=O)c1cc2cc(ccc2n1Cc3cccc(OC(F)(F)F)c3)C#N;IC50;13.49;7.87;445.44;4.35
CCOc1ccc(OC(F)(F)F)cc1Cn2c(cc3cc(ccc23)C#N)C(=O)NCC(C)(C)CO;IC50;8.318;8.08;489.49;4.61
CN1C(=NC(=O)C1(C)C)c2nn(c(c2C)c3ccc(cc3)C(F)(F)F)c4ccc(Cl)cc4Cl;EC50;81;7.09;495.33;6.17
CN1C(=NC(=S)C1(C)C)c2nn(c3ccc(Cl)cc3Cl)c(c2C)c4ccc(Cl)cc4;EC50;8.5;8.07;477.85;6.61
CCc1c(nn(c1c2ccc(Cl)cc2)c3ccc(Cl)cc3Cl)C4=NC(C)(C)C(=O)N4;EC50;20.2;7.7;461.78;5.72
Cn1c(nc(c2ccc(Cl)cc2Cl)c1c3ccc(Cl)cc3)C(=O)NC4CCCCC4;EC50;18;7.75;462.81;6.78
Fc1ccc(cc1)S(=O)(=O)N2CCSc3ccc(cc23)C(=O)NC4CCCC4;EC50;10;8;420.53;3.8
CCCCOc1nc(c2ccc(Cl)cc2Cl)c(cc1C(=O)NCCC)c3ccc(Cl)cc3;IC50;21;7.68;491.85;7.69
CC(C)(NC(=O)c1nn(c2[C@@H]3C[C@@H]3Cc12)c4ccc(F)cc4F)c5ccccn5;EC50;43;7.37;394.43;3.87
Cc1cc(Cl)ccc1c2nc3OC(C)(C)CC(N=C(O)C(O)C(F)(F)F)c3cc2c4ccc(Cl)cc4;IC50;0.3;9.52;539.38;7.51
CC(=O)N[C@@H]1CC(C)(C)Oc2nc(c(cc12)c3ccc(Cl)cc3)c4ccc(Cl)cc4Cl;IC50;1.2;8.92;475.8;7.11
O=C(Oc1cccc2cccnc12)c3cccc(c3)S(=O)(=O)N4CCCCCC4;IC50;50.12;7.3;410.5;4.02
CC1=C(S\C(=N/C(=O)c2cccc(Br)c2)\N1CC3CC3)C(C)(C)C;IC50;53;7.28;407.38;5.07
Cc1ccc(cc1S(=O)(=O)N2CCCCC2)C(=O)Oc3cccc4cccnc34;IC50;0.7943;9.1;410.5;3.94
CCCCOc1ccc(C(=O)c2cccc3ccccc23)c4ccccc14;IC50;48;7.32;354.45;6.4
CC(=O)N[C@H]1CC(C)(C)Oc2nc(c(cc12)c3ccc(Cl)cc3)c4ccc(Cl)cc4Cl;IC50;56;7.25;475.8;7.11
COc1ccc(c(F)c1)c2c[nH]c(n2)c3cccc(CN4CCC(F)(F)CC4)c3;EC50;39;7.41;401.43;5.12
CC(C)(C)C(=O)c1oc2nc(c3ccc(Cl)cc3Cl)c(cc2c1N)c4ccc(Cl)cc4;IC50;5.5;8.26;473.79;7.93
CC(C)C(=O)c1oc2nc(c(cc2c1NC(=O)CO)c3ccc(Cl)cc3)c4ccccc4Cl;IC50;0.4;9.4;483.35;6.24
CC(C)(C)Nc1nc(nc2nc(c3ccccc3Cl)c(cc12)c4ccc(Cl)cc4)C(C)(C)C;IC50;2.7;8.57;479.46;8.17
CCc1c(nn(c2ccc(Cl)cc2Cl)c1c3ccc(C#Cc4ccc(cc4)C(F)(F)F)s3)C(=O)NN5CCCCC5;IC50;8.5;8.07;617.52;8.02
CCc1c(nn(c1c2ccc(Cl)cc2)c3ccc(Cl)cc3Cl)C4=NC(=S)C(C)(C)N4C;EC50;5.1;8.29;491.88;6.86
CCc1c(nn(c1c2ccc(Cl)cc2)c3ccc(Cl)cc3Cl)C4=NC5(CCC5)C(=O)N4;EC50;12.3;7.91;473.79;5.86
CCc1c(nn(c1c2ccc(Cl)cc2)c3ccc(Cl)cc3Cl)C4=NC(=O)C(C)(C)N4C;IC50;12.9;7.89;475.81;6.06
CN1C(=NC(=O)C1(C)C)c2nn(c3ccc(Cl)cc3Cl)c(c4ccc(Cl)cc4)c2C5CC5;IC50;43.9;7.36;487.82;6.37
CCCCCOc1ccc(C(=O)c2cccc3ccccc23)c4ccccc14;EC50;72;7.14;368.48;6.79
CC1CCN(CC1)C(=O)c2ccc3c(c2)c4CN(CCc4n3CC=C)C5CCCCC5;EC50;60;7.22;419.61;5.39
C[C@H](NC(=O)C(C)(C)Oc1ccccc1Cl)[C@@H](Cc2ccc(Cl)cc2)c3ccccc3;IC50;18;7.75;456.41;6.68
