Canonical Smiles,Standard Type,Standard Value,Standard Units,pChEMBL Value,#Ro5 Violations,Molecular Weight,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,ALogP
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O,IC50,2.7,nM,8.57,0,288.43,29.71,0.56,4.69,22.97,3.88
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C=C)[C@@H]1CC[C@@H]2O,IC50,7.9,nM,8.1,0,300.44,26.97,0.5,4.05,21.72,4.05
C[C@]12CC[C@H]3[C@@H](CC[C@H]4CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O,IC50,0.05,nM,10.3,0,290.45,35.47,0.67,6.34,27.62,3.96
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)c5ccc(cc5)N(C)C,IC50,7.8,nM,8.11,1,429.6,18.87,0.35,2.7,20,5.41
C[C@]12CC[C@H]3[C@@H](CC[C@H]4CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O,IC50,2.1,nM,8.68,0,290.45,29.88,0.56,4.72,23.26,3.96
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)c5ccc(cc5)N(C)C,IC50,5,nM,8.3,1,429.6,19.32,0.35,2.89,20.48,5.41
C[C@H]1C[C@@H]2[C@H](CC[C@@]3(C)[C@H]2CC[C@]3(OC(=O)C)C(=O)C)[C@@]4(C)CCC(=O)C=C14,IC50,6.1,nM,8.21,0,386.53,,,,,4.66
Cc1c(C)c(ccc1O)c2ccc(C#N)n2C,IC50,4.9,nM,8.31,0,226.28,36.72,0.67,5.42,16.98,2.89
Cn1c(ccc1c2ccc(O)cc2Cl)C#N,IC50,1.4,nM,8.85,0,232.67,38.05,0.76,5.93,18.09,2.92
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O,IC50,2.7,nM,8.57,0,288.43,29.71,0.56,4.69,22.97,3.88
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)c5ccc(cc5)N(C)C,IC50,6.9,nM,8.16,1,429.6,19,0.35,2.75,20.13,5.41
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)c5ccc(cc5)N(C)C,IC50,5,nM,8.3,1,429.6,,,,,5.41
C[C@@H]1N(CC[C@]1(C)O)c2ccc(C#N)c(F)c2C,IC50,0.29,nM,9.54,0,248.3,38.41,0.72,7.18,20.18,2.36
CC1(C)NC(=O)N(C1=O)c2ccc(c(c2)C(F)(F)F)[N+](=O)[O-],IC50,9,nM,8.05,0,317.22,25.36,0.5,5.6,8.69,2.45
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)c5ccc(cc5)N(C)C,IC50,8.8,nM,8.06,1,429.6,18.75,0.34,2.65,19.87,5.41
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)c5ccc(cc5)N(C)C,IC50,6.9,nM,8.16,1,429.6,19,0.35,2.75,20.13,5.41
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)c5ccc(cc5)N(C)C,IC50,6.9,nM,8.16,1,429.6,19,0.35,2.75,20.13,5.41
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)c5ccc(cc5)N(C)C,IC50,6.9,nM,8.16,1,429.6,19,0.35,2.75,20.13,5.41
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O,IC50,3.9,nM,8.41,0,288.43,29.15,0.55,4.53,22.54,3.88
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)c5ccc(cc5)N(C)C,IC50,1,nM,9,1,429.6,,,,,5.41
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)c5ccc(cc5)N(C)C,IC50,5,nM,8.3,1,429.6,,,,,5.41
