idx,smi,syba, SAScore, SCScore, Berzt, Withlock, Barone, SMCM, TWC
ZINC000174783830,CCC(C)(O)CNC(=O)C1CCN(C)C(=O)C1,30.087330,3.169422,3.461279,302,17,298,32.974000,6
ZINC000438842937,CC(C)C(C)N(C)CC(O)COc1cc(F)cc(Br)c1,51.155436,3.169285,3.463835,408,13,346,38.094000,7
ZINC000528482112,Cc1ccc(Br)c(S(=O)(=O)NCC(O)C2CCCO2)c1,53.265051,3.169235,2.860880,569,23,400,36.753000,8
ZINC000419949165,CNCC(C)CNC(=O)C(=O)N1CCCC(Oc2ccccc2Cl)C1,48.444965,3.169221,4.681402,596,23,463,41.326000,10
ZINC000356113363,CCc1c(C(=O)NCC(C2CC2)N(C)C)cnn1C1CCCC1,47.114661,3.169061,3.835600,539,21,407,44.376000,9
ZINC000334780692,CCC1CCCN(C(=O)C2CCSC2)C1,26.321043,3.168695,3.750063,225,17,283,27.377000,6
,Cc1cn(-c2cccnc2)nc1NC(=O)N(Cc1cccs1)CC1CCCO1,94.432789,3.168628,4.211280,904,28,587,43.868000,11
ZINC000553089091,CC(c1ccccc1)C(NC(=O)COc1ccsc1Cl)C(N)=O,61.464876,3.168497,3.591974,674,23,469,38.485000,9
ZINC000485166580,CCc1c(NC(=O)NC(C)c2ccc3c(c2)OCCO3)cnn1C(CC)CC,71.298397,3.168256,4.024676,813,23,539,44.115000,11
ZINC000269470403,CNc1cc(N2CCCC2CNc2ncc(F)cn2)ncn1,36.065902,3.168213,4.624092,618,22,470,38.391000,9
ZINC000336250344,CC1CN(C(=O)C2CC(C)(O)C2)CC(c2ccccc2)O1,15.578675,3.168153,2.984280,506,22,436,39.238000,8
ZINC000482281344,CCCN(Cc1ccc(C#N)s1)C1CCCc2cccnc21,47.681948,3.168089,4.551521,670,22,473,39.850000,9
ZINC000154451071,Cc1coc(-c2cc(NC(=O)NC3CC(=O)N(C(C)(C)C)C3)ccc2C)n1,58.579281,3.168062,4.586883,866,25,551,42.047000,11
ZINC000419363047,O=C(NCC1CNCCO1)C(=O)NC(Cc1ccccc1)c1cccs1,44.352997,3.167944,4.138147,700,27,529,41.468000,10
ZINC000336551586,CC1CC(CN2CCC(CO)CC2)CCO1,9.856977,3.167862,2.973632,202,15,283,30.564000,6
ZINC000182022836,O=C(NCC1(Cc2ccccc2)CC1)N1CCOCC2(CCOCC2)C1,58.574994,3.167852,4.403778,608,23,489,41.851000,10
ZINC000176271023,CC1CN(CCn2ccc([N+](=O)[O-])n2)c2ccccc2NC1=O,29.477710,3.167733,3.500042,742,26,503,40.942000,9
ZINC000428127903,CC(CNC(=O)NC1CCN(CCCc2ccccc2)C1=O)Cn1cccn1,81.704883,3.167418,4.682997,747,27,538,48.913000,11
ZINC000262764227,O=C(NCCS(=O)(=O)N1CCSCC1)c1[nH]nc2c1CNCC2,32.203284,3.167403,4.600305,667,28,447,36.996000,9
ZINC000455440090,CCC(NC(=O)NCC(C)N(C)C)C1CCCC1,39.024707,3.167209,3.699252,249,14,274,35.118000,7
ZINC000373471238,CC1C(=O)CCC1CC(=O)NCC1CCCN(Cc2ccccc2)C1,49.751032,3.167157,3.813480,586,26,504,46.929000,10
ZINC000262577033,CCCS(=O)(=O)N1CCCCC1C(=O)N(C)CC(C)(C)CN,40.785333,3.167011,3.612512,476,19,332,37.747000,9
ZINC000486834169,Cn1ccc(C(NC(=O)C2CCCCCC(=O)C2)c2ccc(F)cc2)n1,58.712250,3.166753,4.026111,769,26,550,47.443000,10
ZINC000299733524,Cc1ccc(C2C(C)CCCN2C(=O)C(=O)Nc2ccc(C(N)=O)nc2)cc1,50.196013,3.166630,4.107188,877,29,604,48.566000,11
ZINC000423327403,COCC1(C(=O)Nc2ccc(-n3nc(C)cc3C)nc2)CCNC1,28.901344,3.166445,4.022529,717,23,494,41.275000,10
ZINC000531086422,CC(O)CN(Cc1ccccc1)C(=O)CN(C)C(=O)C(C)n1cccn1,83.207140,3.166132,3.380099,700,23,487,43.954000,10
ZINC000415120361,COc1ccc2ccccc2c1CN1CCC(C2CC(N)CCO2)CC1,6.641170,3.165932,3.651678,739,24,556,45.657000,10
ZINC000364193611,O=[N+]([O-])c1ccc(F)cc1N1CC(O)CC1c1ccc(F)c(F)c1,11.661227,3.165916,3.720199,800,26,547,48.674000,10
ZINC000397785001,CC(NCCCN1CCN(C)CC1)C1CC1(C)C,10.995502,3.165909,3.942651,256,15,295,37.303000,7
ZINC000417344271,CC1(C)CCC(NC(=O)N2CCCC(C(=O)NCCN)C2)c2ccccc21,30.702234,3.165784,4.386704,688,26,532,50.798000,11
