idx,smi,syba, SAScore, SCScore, Berzt, Withlock, Barone, SMCM, TWC
ZINC000033838849,COC1C(OC(=O)C=CC=CC=CC=CC(=O)O)CCC2(CO2)C1C1(C)OC1CC=C(C)C,-52.392389,5.296526,3.104507,873,45,663,67.079000,14
ZINC000348308268,CCC1(CC)C(NC(=O)C(=O)N2CC3CCC(C2)O3)C(C)C1OC,4.533230,5.291688,3.397787,493,32,502,47.521000,10
ZINC000471263265,CCOC(=O)C(CC)N(C(=O)C12CC3CC(C1)CC(C(F)(F)F)(C3)C2)C1CC1,20.849132,5.259294,3.244047,643,33,600,58.200000,12
,[O-][S+]1C2CCC1CN(Cc1cccc(F)c1O)CC2,27.831656,5.083364,3.743918,470,23,441,36.445000,8
ZINC000224927665,O=C1C2CC(c3ccccc3)=C3C4C=CC(C5C(=O)N(c6ccc([N+](=O)[O-])cc6)C(=O)C45)C3C2C(=O)N1c1ccc([N+](=O)[O-])cc1,-4.815460,5.082399,3.769644,1952,74,1274,96.262000,20
ZINC000361333623,CC1(C)CN(C(=O)C23CCC(CC2)C3)CC2(CCCOC2)O1,-0.450805,5.035671,4.163135,458,24,440,39.986000,9
ZINC000440557561,CC(=O)N(c1ccc(Cl)cc1)c1nc(CN2CCOC3(CC4CCC3C4)C2)cs1,36.217942,4.937913,4.998836,901,35,666,50.341000,12
ZINC000504710889,O=C(O)C1OC(OC2C(COS(=O)(=O)O)OC(C=NNc3ccc([N+](=O)[O-])cc3)C2O)C(OS(=O)(=O)O)C(O)C1O,8.765825,4.937759,3.825989,1338,67,897,87.170000,17
ZINC000370101501,CCOC1CC(N(C)C(=O)NCC2CCCC23NC(=O)N(C)C3=O)C1(C)C,25.651529,4.933884,4.481478,637,34,536,52.979000,11
,O=C(CN1CCC2CCC(C1)[S+]2[O-])Nc1nc(-c2ccco2)cs1,58.539461,4.917414,4.095151,703,32,555,38.809000,10
ZINC000417835591,COC1CC(NC(=O)N(C)C2CC3CCC(C2)N3)C1(C)C,-7.717735,4.890458,3.580669,400,27,434,44.915000,9
ZINC000418743046,Cc1cc(N)cc(CNC(=O)N2CCOC3(CC4CCC3C4)C2)c1,11.487229,4.875468,4.324893,627,29,543,47.060000,10
ZINC000462575423,O=C(NCc1cnc(N2CCOCC2)c(F)c1)C12CC3CC(C1)CC(C(F)(F)F)(C3)C2,33.315057,4.824443,4.225933,854,35,712,61.463000,13
,CC(C)OC1CC(NCCC(C)[S+](C)[O-])C1(C)C,1.171786,4.820628,3.071352,256,16,305,39.223000,7
ZINC000458943527,CCC(C)(CCO)NC(=O)NCCC1CC2C=CC1C2,30.111638,4.815724,3.960162,369,24,389,44.945000,8
ZINC000345783978,Cc1nccn1CCNC(=O)CC12CC3CC(CC(F)(C3)C1)C2,23.118857,4.799416,3.961004,597,27,538,45.754000,10
ZINC000500299982,O=C(NC1CC2CCC1O2)C(=O)N1CCOC(c2cc(F)c(Cl)cc2Cl)C1,14.781997,4.761225,4.707567,777,37,623,50.110000,11
ZINC000353805053,CC(C(=O)NC1CC2CCC1O2)N(C)CC(F)(F)F,14.925655,4.756006,4.295558,348,25,383,41.391000,8
ZINC000500577924,O=C(NC1C2CCOC2C12CCC2)N1CC(O)CC1c1ccccc1C(F)(F)F,21.494184,4.727548,3.905892,810,40,667,63.440000,12
ZINC000183289628,CN(Cc1ncc(Cl)n1C)C(=O)NC1CC2CCC1O2,31.850182,4.725542,4.639048,518,27,438,35.895000,8
ZINC000461127007,COc1ccc(-c2nnc(N3CC4CC5CC(C4)CC3C5)n2CC2CCCO2)cc1OC,28.047657,4.723725,4.432287,956,37,777,58.191000,13
ZINC000000507666,CC1(C)CC2(CCCN3C(=O)CSC32)CCS1,-28.034413,4.722781,3.486770,340,22,367,31.362000,7
ZINC000421346037,COC(=O)C1CC2CC(NCC3(CO)CCC3)C1C2,3.890882,4.694068,3.156539,347,26,401,44.379000,8
ZINC000071786256,Cc1ccc(OC(=S)OC2CCC3(C)CC(C)(C)C4CCCC243)cc1,-6.270095,4.679769,3.237695,679,29,572,54.019000,11
ZINC000434919877,CCc1cnc(CN(C)C(=O)C(=O)Nc2nc(C3CC4CCC3C4)cs2)s1,49.662084,4.663853,4.523757,846,34,597,41.313000,11
ZINC000461544689,c1ccc(C2CCOC2c2nnc(N3CCC4(CCCOC4)C3)n2CC2CCOC2)cc1,14.325325,4.658511,4.997138,905,39,725,61.191000,13
ZINC000128448993,O=C(NC1CC2CCC1O2)C1COc2ccc(Br)cc21,15.217285,4.626275,3.216080,562,31,512,41.546000,8
ZINC000429604627,CN1CCN(c2cc(CNC(=O)CC34CC5CC(CC(F)(C5)C3)C4)ccn2)CC1,31.384234,4.624002,4.969452,761,32,667,58.047000,12
ZINC000102496889,CCOC(=O)c1c(C)[nH]c(C(=O)COC(=O)C23CC4CC(CC(NC(C)=O)(C4)C2)C3)c1C,48.809463,4.623743,3.444264,963,36,712,59.437000,14
ZINC000552653974,O=C(NCC1CCCCC(F)(F)C1)C1CC2COCC(C1)C2=O,12.561530,4.620521,4.266773,452,28,471,48.230000,9
ZINC000542469844,CCOC(=O)C1(COC)CCCN(C(=O)NC2CCOC3(CCS(=O)(=O)C3)C2)C1,44.043157,4.599176,4.211051,724,36,549,49.179000,12
ZINC000376888869,CNC(=O)OCC1CCCCN1C(=O)NC1C2CCOC2C12CCC2,25.760058,4.592763,4.176870,536,35,521,49.384000,11
ZINC000448011100,COc1ccc2oc(C(C)NC(=O)N3CC(C)OC4(CCOC4C)C3)c(C)c2c1,20.465161,4.589147,4.398456,909,33,647,51.279000,12
ZINC000039147484,C1=CC2C1CCC21OCCO1,-28.673560,4.584757,1.891319,203,20,271,23.094000,4
ZINC000358611210,CCOC1CC(N(C)C(=O)C(C(C)C)N(C)C)C12CCC2,23.623301,4.564106,3.272229,368,20,363,41.909000,9
ZINC000248676464,CC(NC(=O)CSCCOCC(F)F)C1CC2CCC1C2,25.163423,4.561963,4.449832,343,24,386,43.543000,8
,CC(CCNC(=O)NCC1(C(F)F)CC1)[S+](C)[O-],30.159814,4.556702,3.923756,286,17,280,34.187000,7
ZINC000421324275,COC(=O)C1CC2CC(NCCc3nc(C)no3)C1C2,18.750702,4.552959,3.283334,487,28,452,41.063000,8
ZINC000074887316,CCOC1CC(NC(=O)NCC(C)(O)CSC)C12CCCC2,47.753567,4.545229,3.515667,383,22,384,42.227000,9
ZINC000529219197,CC1CN(C(=O)C2CCCN(S(C)(=O)=O)C2)CC2(CCOC2C)O1,-0.643807,4.542169,4.390382,595,34,497,44.335000,10
ZINC000458102526,CCC(OC)C(=O)N1CC2CCC1C(C(=O)OC)C2,5.058658,4.534817,3.311887,353,25,431,37.658000,8
ZINC000461340515,COc1cccc(CC2(C(=O)N3CCCC(S(C)(=O)=O)C3)CC3CCC2C3)c1,51.176266,4.533824,4.028375,851,36,614,52.052000,12
ZINC000530046040,Cc1cccc(Br)c1C(=O)N1CCC2CCC(C1)S2(=O)=O,15.990498,4.516747,3.325880,665,28,475,37.670000,9
,CC=CC[S+]([O-])C(C)C(=O)NCC(C)C,16.730113,4.508939,2.682949,216,12,220,27.598000,5
ZINC000519740874,O=C1CC(NC(=O)N2CCC(O)C23CCCC3)C2CCCCN12,-19.614450,4.507219,3.851776,503,32,492,47.694000,10
ZINC000457413949,Cn1cccc1C1CCCCCN1C(=O)C1CC2CC(=O)C1C2,13.863878,4.497092,4.192569,620,32,536,49.213000,9
ZINC000369476247,Cc1ccc(CNC(=O)NC2C3CCC(C3)C2CO)c(=O)n1C,26.970300,4.493301,3.964893,654,30,506,48.933000,9
,CC[S+]([O-])C1CCCC(NC(C)c2ccc(C)o2)C1,35.608350,4.481845,3.414447,393,20,389,39.724000,7
ZINC000297706102,CCc1cnc(CN(C)C(=O)C(=O)N2CC(C)OC3(CCOC3)C2)s1,39.334454,4.473088,4.846902,641,28,496,35.071000,10
ZINC000363952827,CC1CN(C(=O)Nc2cccc(-c3cnn(C)c3)n2)CC2(CCOC2C)O1,7.422883,4.453873,4.512901,838,32,606,47.929000,11
ZINC000368712563,CCOC1CC(CO)(NC(=O)NC2CCc3nc(COC)nn3C2)C1(C)C,27.714625,4.446564,3.585223,676,29,525,49.117000,11
ZINC000328890256,Cn1ncnc1C1COCCN1C(=O)C1CC12CCOc1ccccc12,4.961773,4.443304,4.492827,850,35,624,47.066000,11
ZINC000378445788,CC12CCC(=O)N1C(C(=O)N1CCC13CCC(CO)CC3)CS2,7.472855,4.440929,3.786870,531,30,475,42.816000,10
ZINC000290618727,CCOC1CC(NC(=O)C(=O)N(C)Cc2ncc(CC)s2)C12CCOCC2,57.636251,4.426998,4.700326,671,28,508,40.214000,11
ZINC000268295879,O=C(CCn1cc(Cl)cn1)NC1CC2CCC1O2,28.908743,4.419559,3.679510,448,26,405,36.190000,7
ZINC000502210227,COC1C(C)C(NC(=O)N2CC(COCC(=O)N(C)C)OC(C)(C)C2)C1(C)C,22.272937,4.418599,4.149138,578,28,500,50.038000,12
ZINC000262031832,C1CSC(CNC2CCCC2C2COCCN2)C1,-28.274588,4.415410,4.152311,252,24,374,40.508000,7
ZINC000333025040,CC(C)c1nc(N(C)C)nc(N2CC3(CCOCC3)C3CCCC32)n1,0.639484,4.409613,4.399136,599,26,523,46.110000,11
ZINC000374760304,O=C(NC1CC2CCC1O2)N1CCOc2cccc(F)c2C1,17.461869,4.408795,4.957097,594,30,525,41.964000,9
ZINC000349886008,N#CC1(CS(=O)(=O)NC2CCC(=O)NC23CCC3)CCC1,-2.355400,4.408635,3.538285,585,31,416,40.462000,9
,CCC1(C)Oc2ccc(NC(=O)C(=O)N3CC[S+]([O-])C(C)C3)cc2O1,36.378168,4.403834,3.767660,697,30,543,40.086000,10
,CC1CCC(O)C(C2CCCN2C(=O)C(=O)Nc2cccc(C[S+]([O-])C(C)(C)C)c2)C1,39.205202,4.401742,4.182991,794,33,634,59.539000,12
ZINC000457773348,CCSCCCNC(=O)C1CC2CC(=O)C1C2,11.166290,4.399610,3.054044,305,22,336,34.192000,7
ZINC000549388459,CCCn1ccc2cc(NC(=O)C(=O)N3C4C=C(c5ccnn5C)CC3CC4)ccc21,30.368380,4.395426,4.558858,1187,37,706,53.032000,13
ZINC000422601537,CC(c1ccco1)N(C)C(=O)C(=O)NCC1CC12CCSCC2,43.348236,4.394148,3.771811,566,26,451,36.210000,9
ZINC000346433560,CC(O)C(C)NC(=O)CCNC(=O)NC12CC3CC(CC(C3)C1)C2,34.859011,4.390790,3.440397,456,26,493,47.980000,10
ZINC000430476403,Cc1nc(C)n(-c2ccccc2NC(=O)C(=O)N2CC(C)OC3(CCOC(C)C3)C2)n1,36.412381,4.390005,4.618349,986,35,678,50.601000,13
ZINC000548923331,CC(=O)NCCN(CC(=O)NC(C)C1CC2CCC1C2)Cc1ccc(C)s1,54.743397,4.379877,4.554537,659,30,536,54.526000,11
ZINC000450563571,CC(C)OC1(C(=O)N2CCN(C)C(C)C2C)CCOC1,-11.044374,4.375899,3.724625,353,21,372,36.706000,8
ZINC000294300215,CCCc1nc(C)c(C(=O)N2CCOC3(CCOC3C)C2)o1,6.122789,4.361375,4.172292,556,24,451,35.241000,9
ZINC000373731508,CCC1CN(C2CCN(c3cccc([N+](=O)[O-])c3)C2=O)CC2(CCOC2)O1,15.797454,4.360708,4.454542,733,34,591,52.272000,11
ZINC000456958066,COc1ccc(C(=O)N2CC3C4CCC(C4)C3(C)C2)c(O)c1,6.759924,4.353614,3.881500,628,30,539,47.238000,9
ZINC000245493086,CC(C)CC1CCN(S(=O)(=O)N2CC3CCC2C3)C1,20.600932,4.352820,4.198452,434,27,384,40.837000,8
ZINC000424302203,COc1ccc(C(NCC2(C)CC3CCC2O3)c2ccc(F)cc2)cc1,15.200276,4.346664,3.268591,745,28,605,51.574000,11
ZINC000451148145,CCOCCN(C)C1CCN2CCOC1C2,-18.630461,4.343613,3.803461,213,16,286,30.034000,6
ZINC000338602202,CCn1c(-c2cccn2C)nnc1N1CC2CCC(C1)O2,5.856949,4.338401,4.534604,634,26,481,37.744000,9
ZINC000169779770,COc1ccc2c(c1)OC1(C)CC2C(S(=O)(=O)c2ccc(C)c(C)c2)C(=O)N1,22.905105,4.329202,3.456527,1078,35,675,50.994000,12
ZINC000474649539,CC1CN(C(=O)NC2CC(C)(C)CC(C)(C)C2)CC2(CCOC2)O1,11.999900,4.325741,4.204274,467,23,448,44.849000,10
ZINC000291473762,Cc1cccc(OCc2nnc(N3CC4CCC3C4)n2CC2CCOC2)c1,40.187013,4.323868,4.943781,799,32,612,49.394000,11
ZINC000262687472,C=CCNC(N)=NCC1CC12CCOCC2,-7.305376,4.320177,3.284723,281,18,281,29.601000,6
ZINC000331824568,CC(C)(C)OC1CC(NCC2(O)CCS(=O)(=O)C2)C1(C)C,4.053409,4.318778,3.112266,494,24,387,42.568000,9
ZINC000453217545,CC1CCC(NC2CCC(=O)NC2C)c2sccc21,-17.726139,4.317630,3.575824,470,26,449,42.134000,8
ZINC000361370791,COC(=O)c1ccc(CN(CCO)C2CC3CCC2C3)s1,36.389961,4.311507,3.668575,501,25,438,40.972000,8
ZINC000424358778,CC(C)N(CC1CCC(=O)N1)c1nnc(C2CCCS2)n1CC1CCCO1,12.772363,4.310346,4.921568,652,32,543,49.115000,11
ZINC000296547869,Cc1cccnc1CCCNC1C2CCOC2C12CCCC2,27.069079,4.309681,3.576297,523,25,480,47.619000,9
ZINC000374635236,C=CCOCCCC(=O)N1C2CCC1CC(c1ccnn1C)C2,25.030807,4.307114,3.477675,540,25,445,43.810000,9
ZINC000458510429,CC(C)C1OCCC1CNC(=O)NC1(C)CC=CCC1,9.176395,4.305588,3.581308,367,22,375,40.695000,8
,CC[S+]([O-])C1CCCC(NC(=O)C(=O)N2CCC(C3CCCC3)C2)C1,29.744420,4.305110,4.417566,481,30,485,49.490000,10
ZINC000279458387,CC1OCCC12CN(C(=O)C(=O)Nc1ccc(OC3CCOC3)cc1)CCO2,19.981936,4.287609,4.385181,717,34,597,44.117000,11
ZINC000527567135,CC(Cc1c(Cl)cccc1Cl)NCC1CC(c2nc[nH]n2)CC1O,23.100444,4.282785,3.711632,644,27,539,49.607000,9
ZINC000544703523,CCOC1CC(NC(=O)c2cncc(N3CCOCC3)c2)C12CCCO2,19.839361,4.279803,4.277611,641,31,552,49.605000,11
ZINC000432404980,Cc1cc(Br)c(F)cc1NC(=O)N1CC(C)OC2(CCOC(C)C2)C1,25.776525,4.279555,4.448335,667,27,537,45.379000,10
ZINC000366489053,CCC1CN(c2nc(C(F)(F)F)ccc2C#N)CC2(CCCOC2)O1,16.511890,4.278996,4.454734,666,28,529,48.047000,10
ZINC000262467775,NCCC(=O)NCC1CCCCN1C(=O)C1CC2CCCC(C1)C2N,-1.682692,4.275655,4.582217,470,28,477,50.939000,10
,CC(Cn1cc(Br)cn1)NCC[S+]([O-])C(C)(C)C,36.168942,4.274600,3.628923,364,14,304,33.962000,7
ZINC000454007201,COC1CC(N(C)C(=O)C(=O)NCC(=O)N(C)C)C12CCC2,27.242547,4.260585,3.616318,473,25,391,35.116000,9
ZINC000455055851,COC(CNC(=O)N1CC2CCCC2(c2nc(CC3CC3)no2)C1)C1CC1,11.061797,4.255033,4.854119,699,35,561,50.783000,11
,CC(C)S(=O)(=O)CCC[S+]([O-])Cc1nc(C(F)(F)F)cc(=O)[nH]1,45.380659,4.252864,3.866903,686,23,398,35.351000,9
ZINC000508788079,C=CCn1c(C2CCOC2C(C)(C)C)nnc1N(C)Cc1cn(C)nc1C(F)(F)F,31.044275,4.250321,4.955879,895,28,574,54.555000,12
ZINC000347803846,CC1CCCC(CCNC(=O)C(=O)N2CCCC3(CNC(=O)C3)C2)C1,16.777126,4.247918,4.913619,536,30,492,48.462000,10
ZINC000247633711,O=C(NCC(O)COc1ccc(F)cc1)NC1CC2CCC1O2,42.156707,4.245694,4.041037,539,29,500,46.154000,9
ZINC000448544155,CC(C)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)N1CCCC2(CCCCO2)C1C#N,39.873150,4.244003,4.452645,1010,37,693,59.786000,13
,CCc1nnc(N2CC[S+]([O-])C(C)C2)n1Cc1cccs1,40.142786,4.243257,4.229452,583,23,445,33.097000,8
ZINC000424548891,C=CC1OCCC1CNC(=O)C(=O)N1CC2CCNCC2C1,-31.169705,4.243255,3.673674,439,32,464,43.087000,9
,COC1CCCC1NCC[S+]([O-])c1cc(Cl)ccc1Cl,24.972864,4.238887,3.570078,447,20,402,39.699000,8
ZINC000323859983,CC(C)CC(CN(C)C)NC(=O)C1(N)C2CCCOC2C1(C)C,2.985598,4.234767,4.139440,425,23,425,49.058000,10
ZINC000450937180,CCCC(O)CN1C(C)CCC2OC(C(=O)OC)CC21,-5.403036,4.233180,3.653765,335,25,403,43.033000,8
ZINC000329192281,COC1CC(CN(C)C(=O)C2CSC3(C)CCC(=O)N23)N(C)C1,11.537489,4.227714,4.582717,502,31,476,43.286000,10
ZINC000504208103,CC1c2cc3c(-c4ccccc4)coc3cc2OC(=O)C1CCC(=O)NC(CC1=c2cc(O)ccc2=NC1)C(=O)O,6.469132,4.227387,4.478548,1809,49,975,75.342000,17
ZINC000487465394,CC1(C)Cc2cc(C(=O)N3C4CCC3CC(=O)C4)sc2-c2ccccc21,7.352723,4.227326,3.729366,909,32,640,49.802000,11
,Cc1cnc(C(=O)N2CC[S+]([O-])C(C)C2)c(O)c1,21.701222,4.225674,3.800081,466,20,388,32.961000,7
ZINC000393608974,C=CCC(C)C(C)NCC1CCCCS1,-7.812440,4.224780,2.740340,175,14,255,32.348000,5
ZINC000455315588,NC(=O)CN1CCc2ccc(NC(=O)NCCC3CC4C=CC3C4)cc2C1,48.473077,4.221456,4.859105,760,34,594,52.298000,11
ZINC000481590361,CCn1c(CNC(=O)C2CC3CCC2O3)nc2cc(Br)ccc21,49.491357,4.217344,4.007219,757,30,543,42.188000,9
ZINC000483236180,CC(c1cccc(Br)c1)N1C2CCC1CC(=O)NC2,11.426815,4.216590,2.798676,490,24,447,39.672000,8
ZINC000363493679,O=C(C1CC1c1c(F)cccc1Cl)N1C2CCCC1CC2,22.707360,4.214330,3.352534,553,30,515,46.244000,9
ZINC000562710479,CC(C)C(NC(=O)C1CC1(F)c1ccccc1)c1nc(-c2nc[nH]n2)no1,33.531934,4.211824,4.645033,926,33,627,47.602000,11
ZINC000456567195,COc1ccc(-c2n[nH]cc2C(=O)N(C)C2CC(OC)C23CCC3)cc1,45.689972,4.211284,4.353010,794,28,565,47.252000,11
ZINC000357511193,CCC1(C)CC1C(=O)NC1(C)CCCOC1,-1.286780,4.206549,3.265216,283,19,318,34.332000,7
ZINC000529437115,CC#CCN(C)C(=O)C1C(C)OC(C)C1C,8.783524,4.205498,2.840783,315,21,332,33.522000,6
ZINC000367410269,C#CCC(C)NC(=O)N1CCC2(CCCOC2)C1,33.500169,4.204426,4.077325,342,22,349,33.385000,7
ZINC000279646752,Cc1cccc(S(=O)(=O)N2CC(C)OC3(CCOC3C)C2)c1,3.448416,4.204017,3.516728,659,28,483,40.945000,9
ZINC000246076484,CCOC1CC(NC(=O)NC2CCCn3nc(COC)nc32)C1(CC)CC,49.944531,4.203965,3.589431,643,28,513,49.070000,11
ZINC000503729101,CCOC1CC(NC(=O)C(=O)N2CCCC2CN2CCCCC2)C12CCCC2,44.331911,4.203402,4.571177,569,32,531,50.444000,12
,CCC1CN(C(=O)CNc2c(C)cccc2C)CC(C)[S+]1[O-],36.893694,4.202596,3.783748,515,21,444,42.820000,9
ZINC000100737787,Cc1ccc(=O)n(CC2(O)CC3CCC(C2)N3Cc2cccc3ncccc23)n1,44.597259,4.202250,4.033423,1089,32,679,52.521000,12
ZINC000490245985,CN1CCC(NC(=O)NC2CCOC3(CCCCC3)C2)C1c1ccc(F)c(F)c1,33.510743,4.195354,4.384394,733,31,603,58.143000,12
,CC(CCNCc1ccn(C)n1)[S+](C)[O-],28.674244,4.194864,3.698113,287,13,262,28.547000,5
ZINC000432134050,O=C(Nc1ccc(F)cc1OCC1CC1)N(CCO)C1CC2CCC1C2,56.275403,4.193000,4.148921,664,30,540,51.214000,10
ZINC000528271871,CC(C)OC1(C)CC1NC(=O)N1CCCC1CF,-7.716636,4.189781,4.017460,324,21,333,36.165000,7
ZINC000549972274,c1ccc2c(c1)OCC(c1nnc(N3CCOC4(CCCC4)C3)n1CC1CCOC1)O2,25.847791,4.189628,4.999517,920,36,691,52.988000,13
ZINC000368261473,O=C(NC(c1cccc(F)c1F)C(F)(F)F)C1CC1c1nc[nH]n1,46.013548,4.187814,3.812511,746,30,543,46.323000,10
ZINC000277275942,COc1ccc(CNC(CC(=O)O)C23CC4CC(CC(C4)C2)C3)cc1O,23.902430,4.187512,3.316905,651,25,572,51.428000,11
ZINC000431250703,CC1CC2(CCO1)CN(C(=O)CCOc1ccc(Cl)cc1[N+](=O)[O-])CC(C)O2,39.194267,4.186537,4.196956,741,31,579,51.086000,11
ZINC000284262947,O=C(NCCc1nccs1)C(=O)NCCC1CC2CCC1C2,40.770088,4.185496,3.474426,517,28,456,38.763000,9
,C=CCCOCCCCC(=O)N1CC(C)[S+]([O-])C(C)C1,28.278877,4.183033,2.966397,299,17,310,35.252000,8
ZINC000544785572,CCOC1CC(NC(=O)Nc2cccc(Cl)c2Cl)C12CCCO2,28.116178,4.181218,3.503752,590,27,489,42.468000,10
ZINC000531152295,CCOC1CC(NC(=O)C2(NC(=O)c3c(C)nn(C)c3C)CCCC2)C12CCCC2,51.112935,4.178095,4.115283,818,31,583,58.988000,13
ZINC000422482288,CCC1CN(C(=O)C(=O)NCc2ccc(C)c(C)n2)CC2(CCOC2)O1,38.367645,4.176957,4.988234,685,27,526,42.480000,10
,COCc1nc(C[S+]([O-])Cc2nc(C(F)(F)F)cc(=O)[nH]2)cs1,48.657465,4.175601,3.712242,717,23,455,30.980000,9
ZINC000348613257,C=CCOCC1NC(=O)N(C2CC(C)(C)OC2(C)C)C1=O,-15.478186,4.174863,3.175240,458,24,391,38.021000,9
ZINC000450874049,CC(C)(C)OC1CC(Nc2nc3c(cc2C#N)CCC3)C1n1cccn1,20.889092,4.174516,4.092037,831,32,597,53.175000,11
ZINC000155805887,O=S(=O)(Cc1ccc(F)cc1)NC1C2CCOC2C12CCC2,31.409987,4.172489,3.772402,669,32,501,44.404000,9
ZINC000410656034,CC1SCCN(C(=O)C(=O)N(C)CC2CCCCC2O)C1C,17.494557,4.170206,4.442999,418,26,428,40.816000,9
ZINC000503069580,CCOc1cc2c(cc1C1CC1NC(=O)C(C)(C#N)CC(=O)OC(C)(C)C)OC(C)C2,35.106794,4.169815,3.476406,913,35,644,59.035000,13
ZINC000513690488,O=C(NC1CCN(S(=O)(=O)c2ccccc2)C1)NC12CCC(C(F)(F)F)(CC1)CC2,48.262506,4.166088,4.054078,880,34,635,55.088000,12
ZINC000376083520,CSC1(CNC(=O)NC2CC3OCCCC23)CC1,18.213720,4.162082,3.779682,332,25,366,35.180000,7
ZINC000498914128,CC1CCc2c(F)cccc2C1NC(=O)N1CC(CO)C(c2cnn(C(C)C)c2)C1,40.627374,4.160657,4.822122,912,33,656,61.538000,12
ZINC000420474510,Cc1cc([N+](=O)[O-])c(C)c(S(=O)(=O)NC2C3CCC2CC(N)C3)c1,14.374239,4.159723,3.298129,763,30,514,48.064000,10
ZINC000423549176,CCOC1CC(N(C)C(=O)C(=O)N2CCCC(N)C2)C1(CC)CC,8.468709,4.159265,4.162411,464,24,423,43.587000,10
,C[S+]([O-])C1(CNC(=O)c2cc(C3CCN(C(=O)OC(C)(C)C)C3)n[nH]2)CC1,52.275470,4.157933,3.964234,708,29,517,48.551000,11
ZINC000276225408,CC(C)(C)n1nccc1NC(=O)C(=O)N1CCCC12CCOC2=O,21.610184,4.155970,3.504038,686,28,479,37.517000,10
ZINC000331379649,Cn1nccc1C1OCCC1C(=O)NCC1CCCC1NS(C)(=O)=O,44.734865,4.148661,4.419607,717,35,518,49.945000,10
ZINC000501259041,Cc1c(NC(=O)C(=O)NCCC2CC3CCC2C3)cccc1C(=O)N1CCSCC1,64.917245,4.147787,4.552168,821,35,630,52.449000,12
ZINC000425334395,CCC(CC(F)(F)F)NC1CCC1SC,9.931202,4.147161,3.078723,193,15,255,33.187000,6
ZINC000458184318,COC1CC(NC(=O)C(NC(=O)C2CC2)C(C)O)C12CCC2,32.370618,4.144025,3.470720,457,30,437,46.914000,9
ZINC000428831768,Cc1c(C2C(NC(=O)NCC3CCCC(C(F)(F)F)C3)CC(=O)N2C)cnn1C,46.106568,4.143349,4.998684,763,34,587,60.250000,12
ZINC000338803954,CN1CCCC1CNC(=O)NC1C2CC3CC(C2)CC1C3,19.447726,4.142637,3.784086,382,24,452,42.118000,9
,[O-][S+](CCC1CCCO1)Cc1cn2cc(Br)ccc2n1,48.282653,4.141980,2.841347,583,22,430,33.263000,8
ZINC000454855452,COCC(C)(O)CCNC(=O)NC1CC12CCCC2,22.771517,4.138221,3.642830,324,19,325,37.242000,8
ZINC000090724876,O=S(=O)(NCCNC1CC2CCC1C2)c1ccc(Cl)s1,33.503995,4.137769,3.959079,572,29,432,40.828000,8
,CC(C(=O)N(C)C(C)c1ccc([S+](C)[O-])cc1)c1cnn(C)c1,57.980630,4.137012,4.229395,666,22,477,41.078000,9
,Cc1c(F)cccc1NC(=O)CC[S+]([O-])C1CCOC1C,45.981518,4.135558,3.329644,511,22,429,39.010000,8
ZINC000194410902,O=C(C1Cc2ccccc2O1)N1CCOCC12CCOC2,18.653387,4.132559,3.511187,527,27,484,35.785000,9
,CC[S+]([O-])c1ccccc1C(=O)N1CC(C)C(C(N)=O)C1,29.192555,4.128246,3.878403,549,24,441,39.635000,8
ZINC000351553384,CCOC1CC(O)C12CCN(C(=O)CNC(=O)C1CCCN1)CC2,4.004695,4.126936,3.634027,468,29,459,47.634000,10
ZINC000514447600,O=C(NC1CCOC1c1ccc(Cl)c(F)c1)C(=O)N1CCOC2(CCCC2)C1,41.183867,4.125612,4.317632,768,32,586,48.373000,11
ZINC000435692184,Cn1cc(CCN(Cc2nccs2)C2CC23CCNCC3)cn1,25.977037,4.124302,4.303613,629,24,464,40.397000,10
ZINC000470121634,CCC(C)n1ncc(NC(=O)N(C)CC2CC(F)CN2Cc2scnc2C)c1C,46.575586,4.123848,4.726325,836,29,570,46.902000,12
ZINC000417331451,CC(NCC1CC12CC2)C(C)c1nc2ccccc2s1,27.809363,4.122320,3.831083,595,25,465,40.891000,8
ZINC000440850854,CCOC1CC(NC(=O)C2CC2c2ccc3c(c2)OCCO3)(C(=O)OC)C1(C)C,19.098225,4.121914,3.529027,821,35,626,54.397000,12
ZINC000473103401,CN(CC1CC(F)CN1Cc1nccn1C)C(=O)C1CC1C1CCCCC1,21.219446,4.121592,4.596597,656,32,548,52.331000,11
ZINC000502980451,CC(C(=O)NCC1CN(C(=O)c2ccccc2)C2CCN1C2)n1ccc2ccccc2c1=O,48.658917,4.120658,4.158122,1239,39,759,61.472000,13
ZINC000530177798,COCCN1CCC(NC2CCNC23CCC3)C1,0.371344,4.119855,4.269102,280,20,331,36.243000,7
ZINC000177670346,CCN(Cc1ccccn1)C(=O)C1CCCN1C(=O)C12CC3CC(CC(C3)C1)C2,62.715355,4.119422,3.971474,742,31,641,52.743000,12
ZINC000376896890,CC1CC2(CCC2)CN1C(=O)NCC1CCCS(=O)(=O)C1,22.616806,4.116622,4.579720,513,28,406,39.116000,9
ZINC000456582712,CC1CC(C(=O)N2CCCC(C(F)(F)F)C2C(F)(F)F)CCO1,8.730872,4.116498,3.811984,435,27,449,48.867000,9
ZINC000496817512,CC1CCSCCN1CC12CC1CN(C(=O)OC(C)(C)C)C2,2.491970,4.115682,3.560161,436,25,429,39.894000,9
